Carrier	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function
1-[PASEtert2=2.00]	"0.34 [-3.79, 4.47]"	"1.26 [-2.70, 5.22]"	"0.68 [-3.44, 4.79]"	"2.26 [-2.26, 6.79]"	"-0.30 [-4.01, 3.40]"	"-1.54 [-6.39, 3.31]"	"3.07 [-2.41, 8.56]"
1-[PASEtert2=1.00]	"1.91 [-2.36, 6.19]"	"1.86 [-2.21, 5.94]"	"0.11 [-4.14, 4.36]"	"-1.06 [-5.72, 3.59]"	"2.95 [-0.86, 6.76]"	"3.43 [-1.58, 8.44]"	"0.08 [-5.46, 5.62]"
1-Time	"2.32 [1.22, 3.42]***"	"4.13 [2.67, 5.60]***"	"3.38 [2.25, 4.51]***"	"0.57 [-1.23, 2.37]"	"-0.08 [-1.48, 1.32]"	"2.46 [1.14, 3.77]***"	"-0.60 [-2.70, 1.50]"
1-TimeSqr	"-0.37 [-0.61, -0.13]**"	"-0.71 [-1.04, -0.38]***"	"-0.56 [-0.82, -0.31]***"	"-0.27 [-0.67, 0.14]"	"0.07 [-0.25, 0.38]"	"-0.28 [-0.57, 0.01]x"	"0.35 [-0.19, 0.89]"
Non-Carrier	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function
2-[PASEtert2=2.00]	"-1.25 [-3.52, 1.02]"	"-0.99 [-3.20, 1.22]"	"-1.38 [-3.18, 0.42]"	"-1.40 [-3.73, 0.94]"	"0.61 [-1.32, 2.55]"	"-1.19 [-3.93, 1.55]"	"0.13 [-2.93, 3.20]"
2-[PASEtert2=1.00]	"-1.07 [-3.37, 1.23]"	"-1.31 [-3.55, 0.93]"	"-0.88 [-2.70, 0.94]"	"-2.18 [-4.54, 0.19]x"	"0.57 [-1.39, 2.53]"	"0.39 [-2.38, 3.16]"	"-1.58 [-4.73, 1.56]"
2-Time	"2.52 [1.87, 3.18]***"	"3.80 [2.96, 4.64]***"	"3.35 [2.70, 4.01]***"	"0.14 [-0.87, 1.15]"	"0.64 [-0.23, 1.52]"	"1.91 [1.14, 2.68]***"	"0.92 [-0.40, 2.24]"
2-TimeSqr	"-0.39 [-0.54, -0.24]***"	"-0.55 [-0.74, -0.36]***"	"-0.54 [-0.69, -0.39]***"	"-0.20 [-0.43, 0.03]"	"-0.06 [-0.26, 0.14]"	"-0.20 [-0.37, -0.02]*"	"-0.06 [-0.41, 0.29]"
