Model3_ME	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAPos4=.00]	2.67 [0.98, 4.36]**	1.65 [-0.09, 3.39]x	1.58 [0.09, 3.06]*	1.83 [-0.01, 3.66]x	1.82 [0.27, 3.37]*	2.52 [0.44, 4.60]*	3.00 [0.58, 5.41]*	
Time	2.32 [1.72, 2.92]***	3.93 [3.15, 4.71]***	3.29 [2.67, 3.91]***	-0.20 [-1.16, 0.75]	0.39 [-0.41, 1.19]	2.04 [1.33, 2.75]***	0.11 [-1.09, 1.30]	
TimeSqr	-0.35 [-0.48, -0.21]***	-0.57 [-0.75, -0.40]***	-0.52 [-0.67, -0.38]***	-0.14 [-0.35, 0.08]	-0.02 [-0.21, 0.16]	-0.21 [-0.37, -0.05]*	0.11 [-0.20, 0.43]	
[MLPAPos4=.00] * Time								
[MLPAPos4=.00] * TimeSqr								
Model3_Int	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAPos4=.00]								
Time								
TimeSqr								
[MLPAPos4=.00] * Time	-0.68 [-1.93, 0.57]	-2.90 [-4.51, -1.28]***	-0.98 [-2.26, 0.31]	-0.24 [-2.21, 1.73]	0.70 [-0.96, 2.36]	0.79 [-0.69, 2.26]	0.40 [-2.04, 2.85]	
[MLPAPos4=.00] * TimeSqr	0.20 [-0.09, 0.49]	0.75 [0.38, 1.12]***	0.21 [-0.08, 0.51]	-0.01 [-0.46, 0.45]	-0.11 [-0.50, 0.27]	-0.15 [-0.49, 0.19]	-0.08 [-0.73, 0.56]	
