Carrier	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00]	-0.67 [-6.10, 4.76]	-1.24 [-6.48, 3.99]	0.91 [-4.52, 6.34]	-2.97 [-8.90, 2.96]	1.86 [-3.10, 6.81]	-1.29 [-7.75, 5.16]	-2.94 [-9.75, 3.86]	
[MLPAvsLLPA4=2.00]	2.43 [-1.93, 6.79]	1.22 [-2.99, 5.43]	2.93 [-1.43, 7.28]	1.54 [-3.24, 6.32]	0.92 [-3.06, 4.91]	2.31 [-2.87, 7.49]	-0.59 [-6.28, 5.10]	
[MLPAvsLLPA4=1.00]	2.03 [-3.15, 7.21]	1.49 [-3.52, 6.50]	0.94 [-4.24, 6.12]	4.17 [-1.51, 9.85]	1.12 [-3.62, 5.86]	0.38 [-5.78, 6.54]	1.16 [-5.88, 8.20]	
Time	2.24 [1.12, 3.37]***	4.18 [2.67, 5.68]***	3.38 [2.21, 4.55]***	0.33 [-1.51, 2.17]	-0.12 [-1.57, 1.32]	2.34 [0.99, 3.69]**	-0.57 [-2.72, 1.59]	
TimeSqr	-0.34 [-0.59, -0.09]**	-0.70 [-1.03, -0.36]***	-0.56 [-0.82, -0.30]***	-0.21 [-0.62, 0.20]	0.08 [-0.24, 0.40]	-0.25 [-0.55, 0.05]	0.34 [-0.21, 0.90]	
non-carrier	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00]	-0.14 [-3.25, 2.96]	-1.33 [-4.39, 1.74]	-0.38 [-2.86, 2.10]	0.28 [-2.92, 3.48]	-0.99 [-3.64, 1.65]	1.53 [-2.22, 5.29]	-0.06 [-4.23, 4.11]	
[MLPAvsLLPA4=2.00]	2.72 [0.27, 5.18]*	1.25 [-1.17, 3.67]	1.73 [-0.23, 3.69]	3.70 [1.17, 6.23]**	0.47 [-1.62, 2.57]	1.59 [-1.37, 4.55]	3.74 [0.35, 7.14]*	
[MLPAvsLLPA4=1.00]	3.37 [0.65, 6.10]*	1.51 [-1.18, 4.20]	1.22 [-0.96, 3.40]	0.86 [-1.95, 3.66]	3.26 [0.94, 5.59]**	4.59 [1.30, 7.88]**	4.25 [0.58, 7.92]*	
Time	2.49 [1.83, 3.16]***	3.74 [2.90, 4.59]***	3.29 [2.63, 3.96]***	0.12 [-0.89, 1.14]	0.61 [-0.28, 1.49]	1.92 [1.14, 2.70]***	1.02 [-0.32, 2.37]	
TimeSqr	-0.38 [-0.53, -0.23]***	-0.53 [-0.73, -0.34]***	-0.53 [-0.68, -0.37]***	-0.19 [-0.43, 0.04]	-0.04 [-0.25, 0.16]	-0.19 [-0.37, -0.01]*	-0.09 [-0.44, 0.27]	
