60-69	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00]	-1.75 [-4.83, 1.33]	-2.38 [-5.52, 0.76]	-1.43 [-4.03, 1.17]	-2.77 [-6.20, 0.66]	0.38 [-2.51, 3.28]	-0.18 [-4.07, 3.72]	-1.66 [-5.88, 2.56]	
[MLPAvsLLPA4=2.00]	0.86 [-1.78, 3.50]	0.06 [-2.63, 2.75]	1.44 [-0.79, 3.66]	1.20 [-1.74, 4.14]	0.16 [-2.32, 2.65]	0.23 [-3.10, 3.57]	0.56 [-3.21, 4.34]	
[MLPAvsLLPA4=1.00]	3.50 [0.67, 6.33]*	2.06 [-0.81, 4.93]	1.91 [-0.47, 4.29]	1.23 [-1.90, 4.36]	4.20 [1.55, 6.85]**	2.92 [-0.66, 6.50]	5.17 [1.24, 9.11]*	
Time	2.75 [1.99, 3.51]***	4.24 [3.27, 5.22]***	3.35 [2.60, 4.10]***	0.16 [-1.03, 1.35]	0.37 [-0.62, 1.37]	2.70 [1.81, 3.59]***	0.79 [-0.60, 2.17]	
TimeSqr	-0.38 [-0.55, -0.20]***	-0.55 [-0.77, -0.32]***	-0.50 [-0.67, -0.33]***	-0.24 [-0.52, 0.03]	0.02 [-0.21, 0.25]	-0.27 [-0.48, -0.07]**	0.03 [-0.34, 0.39]	
70Plus	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00]	2.84 [-2.67, 8.34]	2.35 [-3.50, 8.20]	1.95 [-3.27, 7.16]	0.39 [-5.52, 6.31]	-0.08 [-4.91, 4.75]	5.17 [-1.38, 11.72]	3.53 [-4.64, 11.70]	
[MLPAvsLLPA4=2.00]	2.49 [-0.96, 5.94]	1.32 [-2.36, 5.00]	1.32 [-1.95, 4.60]	2.45 [-1.29, 6.19]	-0.47 [-3.52, 2.58]	3.87 [-0.24, 7.98]x	5.02 [-0.05, 10.09]x	
[MLPAvsLLPA4=1.00]	1.27 [-2.87, 5.41]	1.00 [-3.41, 5.40]	-0.94 [-4.86, 2.99]	-1.42 [-5.88, 3.04]	2.25 [-1.39, 5.89]	3.78 [-1.14, 8.71]	1.18 [-4.85, 7.22]	
Time	1.40 [0.43, 2.38]**	3.17 [1.89, 4.46]***	3.08 [1.99, 4.18]***	-0.91 [-2.48, 0.67]	0.32 [-1.04, 1.67]	0.70 [-0.47, 1.87]	-1.16 [-3.42, 1.10]	
TimeSqr	-0.28 [-0.50, -0.06]*	-0.59 [-0.88, -0.30]***	-0.55 [-0.80, -0.31]***	0.04 [-0.31, 0.40]	-0.09 [-0.40, 0.21]	-0.07 [-0.34, 0.19]	0.23 [-0.37, 0.83]	
