Female	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00]	-0.92 [-4.75, 2.90]	-2.15 [-5.80, 1.51]	-0.89 [-3.96, 2.17]	-1.30 [-5.56, 2.96]	0.68 [-2.87, 4.23]	0.23 [-4.57, 5.04]	1.50 [-3.77, 6.78]	
[MLPAvsLLPA4=2.00]	1.69 [-1.29, 4.66]	0.68 [-2.16, 3.52]	1.51 [-0.88, 3.90]	2.11 [-1.20, 5.42]	0.01 [-2.75, 2.77]	1.57 [-2.17, 5.31]	3.72 [-0.46, 7.90]	
[MLPAvsLLPA4=1.00]	2.01 [-1.37, 5.38]	1.00 [-2.21, 4.22]	0.95 [-1.76, 3.65]	-1.06 [-4.80, 2.68]	3.61 [0.50, 6.73]*	2.96 [-1.28, 7.21]	4.92 [0.20, 9.63]*	
Time	2.19 [1.36, 3.02]***	4.15 [3.15, 5.15]***	3.14 [2.35, 3.93]***	0.27 [-1.04, 1.58]	-0.88 [-1.99, 0.24]	1.78 [0.82, 2.75]***	-0.01 [-1.59, 1.57]	
TimeSqr	-0.26 [-0.45, -0.08]**	-0.57 [-0.80, -0.34]***	-0.44 [-0.62, -0.26]***	-0.16 [-0.46, 0.14]	0.18 [-0.08, 0.44]	-0.12 [-0.34, 0.10]	0.05 [-0.36, 0.47]	
Male	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00]	0.37 [-3.51, 4.24]	-0.05 [-4.39, 4.30]	-0.18 [-3.95, 3.58]	-1.99 [-6.07, 2.09]	0.31 [-3.10, 3.72]	2.89 [-1.70, 7.48]	-2.25 [-7.79, 3.29]	
[MLPAvsLLPA4=2.00]	2.69 [-0.41, 5.79]	1.60 [-1.88, 5.08]	2.03 [-0.98, 5.04]	1.81 [-1.47, 5.08]	0.71 [-2.02, 3.45]	3.29 [-0.38, 6.96]x	0.55 [-4.02, 5.13]	
[MLPAvsLLPA4=1.00]	4.30 [0.95, 7.65]*	3.18 [-0.57, 6.93]	1.48 [-1.78, 4.73]	1.94 [-1.58, 5.46]	3.94 [1.00, 6.89]**	4.42 [0.45, 8.38]*	2.73 [-2.09, 7.54]	
Time	2.45 [1.58, 3.32]***	3.61 [2.38, 4.84]***	3.49 [2.50, 4.48]***	-0.79 [-2.16, 0.58]	1.91 [0.78, 3.04]**	2.38 [1.33, 3.43]***	0.30 [-1.52, 2.13]	
TimeSqr	-0.45 [-0.65, -0.26]***	-0.58 [-0.86, -0.29]***	-0.64 [-0.87, -0.41]***	-0.11 [-0.43, 0.21]	-0.27 [-0.53, -0.01]*	-0.33 [-0.57, -0.09]**	0.17 [-0.31, 0.65]	
