Carrier	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00] * Time								
[MLPAvsLLPA4=2.00] * Time	-1.07 [-4.04, 1.89]	-4.48 [-8.41, -0.56]*	-0.22 [-3.29, 2.85]	1.34 [-3.51, 6.18]	-2.00 [-5.82, 1.83]	0.54 [-3.03, 4.11]	-0.84 [-6.34, 4.67]	
[MLPAvsLLPA4=1.00] * Time	-1.35 [-4.98, 2.28]	-6.26 [-11.06, -1.46]*	-3.84 [-7.60, -0.08]*	0.42 [-5.51, 6.34]	1.07 [-3.61, 5.74]	2.38 [-1.99, 6.74]	-3.60 [-9.89, 2.69]	
[MLPAvsLLPA4=3.00] * TimeSqr	-0.19 [-0.93, 0.56]	0.60 [-0.39, 1.60]	0.93 [0.16, 1.71]*	-1.41 [-2.64, -0.18]*	-0.29 [-1.26, 0.67]	-0.31 [-1.21, 0.58]	0.11 [-1.55, 1.76]	
[MLPAvsLLPA4=2.00] * TimeSqr	0.41 [-0.27, 1.09]	1.36 [0.45, 2.27]**	0.04 [-0.67, 0.75]	-0.52 [-1.64, 0.60]	0.53 [-0.35, 1.42]	0.07 [-0.75, 0.89]	0.26 [-1.19, 1.71]	
[MLPAvsLLPA4=1.00] * TimeSqr	0.49 [-0.39, 1.36]	1.37 [0.21, 2.54]*	0.96 [0.05, 1.86]*	0.13 [-1.31, 1.57]	-0.27 [-1.41, 0.86]	-0.32 [-1.38, 0.73]	1.19 [-0.44, 2.82]	
non-carrier	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00] * Time	-1.87 [-4.05, 0.30]	-2.29 [-5.06, 0.48]	0.60 [-1.58, 2.78]	-2.38 [-5.70, 0.94]	-1.27 [-4.19, 1.65]	0.03 [-2.54, 2.59]	0.08 [-4.20, 4.36]	
[MLPAvsLLPA4=2.00] * Time	-0.72 [-2.44, 0.99]	-1.82 [-4.01, 0.36]	-1.10 [-2.82, 0.62]	-0.35 [-2.97, 2.27]	-0.83 [-3.12, 1.47]	0.95 [-1.07, 2.98]	1.94 [-1.48, 5.35]	
[MLPAvsLLPA4=1.00] * Time	-2.45 [-4.37, -0.53]*	-3.66 [-6.11, -1.21]**	-1.73 [-3.66, 0.19]x	-2.78 [-5.72, 0.16]x	0.18 [-2.40, 2.76]	-0.26 [-2.52, 2.00]	1.09 [-2.85, 5.04]	
[MLPAvsLLPA4=3.00] * TimeSqr	0.42 [-0.08, 0.92]	0.68 [0.04, 1.32]*	-0.06 [-0.56, 0.44]	0.22 [-0.55, 0.99]	0.33 [-0.34, 1.01]	0.06 [-0.53, 0.65]	-0.20 [-1.34, 0.93]	
[MLPAvsLLPA4=2.00] * TimeSqr	0.21 [-0.19, 0.60]	0.54 [0.04, 1.04]*	0.25 [-0.14, 0.65]	-0.08 [-0.68, 0.52]	0.18 [-0.35, 0.71]	-0.17 [-0.63, 0.29]	-0.71 [-1.61, 0.18]	
[MLPAvsLLPA4=1.00] * TimeSqr	0.55 [0.11, 0.99]*	0.89 [0.32, 1.45]**	0.40 [-0.04, 0.85]x	0.53 [-0.15, 1.21]	-0.05 [-0.65, 0.54]	0.08 [-0.44, 0.60]	-0.33 [-1.38, 0.71]	
