Carrier	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00] * Time	0.70 [-3.13, 4.53]	-2.87 [-7.84, 2.10]	-4.13 [-8.19, -0.07]*	6.27 [0.00, 12.53]x	1.98 [-3.06, 7.02]	-0.10 [-4.72, 4.53]	-1.30 [-8.53, 5.94]	
[MLPAvsLLPA4=2.00] * Time	-1.11 [-4.33, 2.10]	-3.28 [-7.46, 0.90]	0.10 [-3.30, 3.51]	-0.65 [-5.92, 4.63]	-1.22 [-5.46, 3.02]	0.63 [-3.25, 4.51]	-1.98 [-7.99, 4.03]	
[MLPAvsLLPA4=1.00] * Time	-0.22 [-4.21, 3.77]	-4.61 [-9.80, 0.57]	-2.79 [-7.02, 1.44]	2.04 [-4.50, 8.58]	1.18 [-4.08, 6.44]	2.35 [-2.47, 7.16]	-3.75 [-10.43, 2.93]	
[MLPAvsLLPA4=3.00] * TimeSqr	0.16 [-0.69, 1.01]	0.94 [-0.17, 2.04]	1.20 [0.30, 2.10]**	-1.13 [-2.52, 0.27]	-0.45 [-1.57, 0.68]	0.09 [-0.93, 1.11]	0.33 [-1.50, 2.17]	
[MLPAvsLLPA4=2.00] * TimeSqr	0.42 [-0.32, 1.17]	1.25 [0.28, 2.22]*	-0.05 [-0.84, 0.74]	-0.14 [-1.37, 1.09]	0.27 [-0.72, 1.26]	0.04 [-0.86, 0.94]	0.53 [-1.08, 2.15]	
[MLPAvsLLPA4=1.00] * TimeSqr	0.24 [-0.76, 1.24]	1.08 [-0.23, 2.39]	0.69 [-0.37, 1.75]	-0.33 [-1.98, 1.33]	-0.23 [-1.56, 1.09]	-0.30 [-1.50, 0.91]	1.32 [-0.41, 3.06]	
non-carrier	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00] * Time	-1.76 [-4.09, 0.56]	-1.63 [-4.62, 1.37]	1.28 [-1.08, 3.63]	-2.88 [-6.50, 0.74]	-1.38 [-4.53, 1.76]	-0.94 [-3.67, 1.80]	0.28 [-4.29, 4.85]	
[MLPAvsLLPA4=2.00] * Time	-0.72 [-2.54, 1.11]	-1.97 [-4.32, 0.39]	-0.71 [-2.56, 1.13]	-0.35 [-3.19, 2.49]	-0.41 [-2.88, 2.05]	0.64 [-1.51, 2.80]	2.28 [-1.35, 5.90]	
[MLPAvsLLPA4=1.00] * Time	-2.35 [-4.33, -0.37]*	-4.18 [-6.74, -1.62]**	-1.45 [-3.47, 0.56]	-2.36 [-5.47, 0.74]	0.17 [-2.52, 2.86]	-0.25 [-2.59, 2.08]	1.18 [-2.86, 5.22]	
[MLPAvsLLPA4=3.00] * TimeSqr	0.42 [-0.12, 0.95]	0.54 [-0.16, 1.23]	-0.18 [-0.73, 0.36]	0.34 [-0.50, 1.18]	0.35 [-0.38, 1.08]	0.32 [-0.31, 0.95]	-0.27 [-1.50, 0.95]	
[MLPAvsLLPA4=2.00] * TimeSqr	0.20 [-0.22, 0.61]	0.58 [0.04, 1.12]*	0.15 [-0.27, 0.58]	-0.06 [-0.71, 0.59]	0.11 [-0.45, 0.68]	-0.15 [-0.64, 0.34]	-0.68 [-1.64, 0.27]	
[MLPAvsLLPA4=1.00] * TimeSqr	0.54 [0.09, 0.99]*	0.97 [0.38, 1.56]**	0.33 [-0.13, 0.79]	0.49 [-0.23, 1.20]	-0.04 [-0.66, 0.57]	0.10 [-0.44, 0.63]	-0.25 [-1.31, 0.82]	
