60-69	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00] * Time	-1.31 [-3.63, 1.00]	-1.90 [-4.87, 1.08]	-0.33 [-2.62, 1.95]	0.06 [-3.59, 3.71]	-0.52 [-3.56, 2.52]	-1.43 [-4.16, 1.29]	0.15 [-4.05, 4.36]	
[MLPAvsLLPA4=3.00] * TimeSqr	0.40 [-0.13, 0.92]	0.54 [-0.14, 1.22]	0.22 [-0.30, 0.74]	-0.14 [-0.98, 0.70]	0.24 [-0.45, 0.94]	0.39 [-0.23, 1.01]	-0.17 [-1.29, 0.94]	
[MLPAvsLLPA4=2.00] * Time	-1.08 [-3.09, 0.93]	-2.12 [-4.70, 0.46]	-1.23 [-3.22, 0.76]	0.20 [-2.97, 3.37]	-0.04 [-2.68, 2.60]	-0.15 [-2.52, 2.22]	2.23 [-1.39, 5.85]	
[MLPAvsLLPA4=2.00] * TimeSqr	0.43 [-0.03, 0.89]x	0.79 [0.20, 1.38]**	0.33 [-0.12, 0.79]	-0.09 [-0.82, 0.64]	0.21 [-0.40, 0.82]	0.05 [-0.49, 0.59]	-0.50 [-1.45, 0.45]	
[MLPAvsLLPA4=1.00] * Time	-1.67 [-3.81, 0.48]	-3.67 [-6.43, -0.92]**	-2.68 [-4.79, -0.56]*	0.19 [-3.19, 3.58]	0.46 [-2.37, 3.28]	-0.07 [-2.59, 2.45]	-0.27 [-4.13, 3.59]	
[MLPAvsLLPA4=1.00] * TimeSqr	0.47 [-0.03, 0.96]x	0.90 [0.26, 1.55]**	0.57 [0.08, 1.07]*	-0.04 [-0.84, 0.75]	0.00 [-0.66, 0.66]	0.14 [-0.45, 0.72]	0.21 [-0.79, 1.22]	
70Plus	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00] * Time	-1.13 [-4.99, 2.73]	-2.23 [-7.27, 2.80]	-0.65 [-4.98, 3.68]	-1.85 [-8.09, 4.40]	0.82 [-4.53, 6.18]	-0.06 [-4.69, 4.56]	-0.74 [-9.16, 7.69]	
[MLPAvsLLPA4=3.00] * TimeSqr	0.31 [-0.58, 1.20]	0.90 [-0.26, 2.07]	0.31 [-0.69, 1.31]	0.26 [-1.19, 1.71]	-0.44 [-1.69, 0.80]	0.04 [-1.03, 1.11]	0.02 [-2.15, 2.18]	
[MLPAvsLLPA4=2.00] * Time	0.38 [-2.09, 2.85]	-1.65 [-4.87, 1.58]	0.73 [-2.04, 3.50]	-0.10 [-4.09, 3.89]	-0.26 [-3.68, 3.16]	1.78 [-1.18, 4.75]	1.20 [-4.40, 6.81]	
[MLPAvsLLPA4=2.00] * TimeSqr	-0.22 [-0.78, 0.34]	0.45 [-0.29, 1.18]	-0.24 [-0.87, 0.39]	-0.30 [-1.21, 0.62]	-0.22 [-1.00, 0.57]	-0.37 [-1.04, 0.30]	-0.74 [-2.25, 0.78]	
[MLPAvsLLPA4=1.00] * Time	-2.43 [-5.30, 0.45]	-5.45 [-9.20, -1.70]**	-1.02 [-4.24, 2.21]	-4.66 [-9.30, -0.02]*	1.08 [-2.90, 5.06]	0.91 [-2.54, 4.36]	0.47 [-6.19, 7.14]	
[MLPAvsLLPA4=1.00] * TimeSqr	0.49 [-0.18, 1.16]	1.18 [0.31, 2.06]**	0.34 [-0.41, 1.09]	1.07 [-0.02, 2.15]x	-0.45 [-1.39, 0.48]	-0.24 [-1.04, 0.57]	-0.20 [-2.01, 1.61]	
