Female	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00] * Time	-2.78 [-5.61, 0.04]x	-3.04 [-6.44, 0.35]x	-2.01 [-4.70, 0.67]	-2.79 [-7.26, 1.68]	-1.58 [-5.39, 2.22]	0.76 [-2.54, 4.06]	-2.65 [-8.00, 2.70]	
[MLPAvsLLPA4=2.00] * Time	-1.14 [-3.36, 1.07]	-2.45 [-5.12, 0.21]x	-0.46 [-2.56, 1.64]	-1.22 [-4.73, 2.29]	-0.86 [-3.84, 2.13]	0.74 [-1.84, 3.33]	0.91 [-3.21, 5.03]	
[MLPAvsLLPA4=1.00] * Time	-1.41 [-3.93, 1.11]	-4.76 [-7.79, -1.73]**	-1.79 [-4.18, 0.61]	-0.71 [-4.70, 3.28]	1.47 [-1.92, 4.87]	0.72 [-2.22, 3.65]	0.73 [-3.93, 5.39]	
[MLPAvsLLPA4=3.00] * TimeSqr	0.69 [0.05, 1.33]*	0.81 [0.04, 1.57]*	0.65 [0.05, 1.26]*	0.35 [-0.67, 1.36]	0.29 [-0.57, 1.16]	0.01 [-0.74, 0.75]	0.13 [-1.30, 1.57]	
[MLPAvsLLPA4=2.00] * TimeSqr	0.36 [-0.15, 0.87]	0.72 [0.10, 1.33]*	0.16 [-0.32, 0.65]	0.18 [-0.64, 0.99]	0.16 [-0.53, 0.85]	0.02 [-0.57, 0.62]	-0.58 [-1.69, 0.53]	
[MLPAvsLLPA4=1.00] * TimeSqr	0.45 [-0.14, 1.04]	1.00 [0.29, 1.72]**	0.36 [-0.20, 0.93]	0.39 [-0.55, 1.33]	-0.21 [-1.02, 0.59]	-0.03 [-0.72, 0.66]	-0.09 [-1.31, 1.13]	
Male	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00] * Time	0.68 [-2.06, 3.42]	-0.57 [-4.43, 3.29]	1.48 [-1.64, 4.61]	2.60 [-1.73, 6.93]	0.41 [-3.18, 4.01]	-2.61 [-5.95, 0.73]	3.38 [-2.15, 8.92]	
[MLPAvsLLPA4=2.00] * Time	0.01 [-2.20, 2.23]	-1.46 [-4.57, 1.66]	-0.69 [-3.22, 1.84]	1.89 [-1.60, 5.38]	-0.02 [-2.91, 2.88]	0.09 [-2.61, 2.78]	3.02 [-1.61, 7.65]	
[MLPAvsLLPA4=1.00] * Time	-2.21 [-4.56, 0.15]x	-3.55 [-6.87, -0.23]*	-2.41 [-5.10, 0.28]x	-1.38 [-5.12, 2.35]	-0.63 [-3.72, 2.46]	-0.23 [-3.10, 2.63]	-0.15 [-5.12, 4.83]	
[MLPAvsLLPA4=3.00] * TimeSqr	0.02 [-0.61, 0.65]	0.50 [-0.39, 1.40]	-0.18 [-0.90, 0.55]	-0.59 [-1.60, 0.42]	-0.04 [-0.87, 0.80]	0.60 [-0.17, 1.37]	-0.64 [-2.08, 0.80]	
[MLPAvsLLPA4=2.00] * TimeSqr	0.10 [-0.40, 0.61]	0.73 [0.01, 1.44]*	0.18 [-0.40, 0.76]	-0.56 [-1.36, 0.24]	0.04 [-0.62, 0.71]	-0.13 [-0.75, 0.48]	-0.62 [-1.83, 0.59]	
[MLPAvsLLPA4=1.00] * TimeSqr	0.52 [-0.02, 1.06]x	1.05 [0.28, 1.82]**	0.65 [0.03, 1.27]*	0.13 [-0.74, 1.00]	-0.01 [-0.73, 0.71]	0.11 [-0.56, 0.77]	0.18 [-1.14, 1.49]	
