60-69	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00] * Time * APOE4Car	2.48 [-2.88, 7.84]	1.25 [-5.63, 8.12]	-7.22 [-12.49, -1.95]**	6.27 [-2.17, 14.70]	4.88 [-2.23, 11.99]	4.16 [-2.15, 10.47]	-1.73 [-11.51, 8.06]	
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	-0.35 [-1.56, 0.86]	-0.17 [-1.73, 1.39]	1.83 [0.63, 3.02]**	-1.03 [-2.95, 0.89]	-1.14 [-2.75, 0.48]	-1.09 [-2.51, 0.33]	0.66 [-1.89, 3.20]	
[MLPAvsLLPA4=2.00] * Time * APOE4Car	-1.86 [-6.51, 2.79]	-3.39 [-9.37, 2.59]	-1.18 [-5.75, 3.40]	0.22 [-7.12, 7.56]	-0.39 [-6.57, 5.80]	0.03 [-5.45, 5.51]	-0.04 [-8.38, 8.31]	
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	0.40 [-0.67, 1.48]	1.03 [-0.36, 2.42]	0.16 [-0.90, 1.22]	-0.53 [-2.24, 1.18]	0.11 [-1.33, 1.55]	0.23 [-1.03, 1.50]	0.07 [-2.14, 2.29]	
[MLPAvsLLPA4=1.00] * Time * APOE4Car	2.17 [-3.05, 7.38]	-1.12 [-7.84, 5.59]	-0.27 [-5.41, 4.87]	2.88 [-5.37, 11.14]	2.01 [-4.95, 8.97]	2.82 [-3.33, 8.96]	-2.59 [-11.27, 6.08]	
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	-0.57 [-1.84, 0.70]	-0.09 [-1.73, 1.55]	0.05 [-1.21, 1.30]	-0.54 [-2.56, 1.48]	-0.54 [-2.24, 1.16]	-0.70 [-2.20, 0.79]	1.03 [-1.21, 3.28]	
70Plus	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00] * Time * APOE4Car	3.79 [-4.66, 12.25]	-6.73 [-17.79, 4.33]	0.17 [-9.25, 9.58]	20.06 [6.46, 33.67]**	-1.09 [-12.95, 10.76]	-7.15 [-17.33, 3.03]	3.04 [-15.09, 21.16]	
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	-0.37 [-2.25, 1.52]	1.46 [-1.02, 3.94]	-0.07 [-2.18, 2.03]	-3.57 [-6.63, -0.51]*	0.50 [-2.17, 3.18]	1.92 [-0.36, 4.19]	-0.14 [-4.71, 4.43]	
[MLPAvsLLPA4=2.00] * Time * APOE4Car	2.74 [-3.41, 8.90]	3.02 [-5.03, 11.08]	5.36 [-1.50, 12.21]	-1.32 [-11.23, 8.59]	-2.46 [-11.09, 6.18]	0.07 [-7.34, 7.49]	-13.75 [-27.15, -0.35]*	
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	-0.36 [-1.78, 1.06]	-0.30 [-2.17, 1.57]	-1.16 [-2.75, 0.43]	0.77 [-1.54, 3.08]	0.31 [-1.70, 2.33]	-0.07 [-1.78, 1.65]	3.94 [0.27, 7.61]*	
[MLPAvsLLPA4=1.00] * Time * APOE4Car	-0.81 [-10.36, 8.74]	-1.43 [-13.86, 11.01]	-5.53 [-16.13, 5.07]	6.63 [-8.59, 21.85]	-5.13 [-18.36, 8.10]	-0.14 [-11.64, 11.35]	-11.31 [-30.94, 8.32]	
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	1.01 [-1.53, 3.55]	1.38 [-1.94, 4.71]	1.29 [-1.54, 4.12]	-1.57 [-5.66, 2.53]	1.82 [-1.75, 5.39]	0.83 [-2.23, 3.88]	3.57 [-1.63, 8.77]	
