Female	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00] * Time * APOE4Car	0.98 [-5.75, 7.70]	-6.29 [-14.31, 1.73]	-6.86 [-13.22, -0.51]*	10.35 [-0.31, 21.00]x	1.23 [-7.89, 10.35]	1.27 [-6.59, 9.14]	1.50 [-10.88, 13.89]	
[MLPAvsLLPA4=2.00] * Time * APOE4Car	-3.89 [-9.17, 1.39]	-5.26 [-11.57, 1.05]	-2.69 [-7.69, 2.30]	-1.63 [-10.01, 6.76]	-4.28 [-11.46, 2.89]	-0.07 [-6.24, 6.11]	1.95 [-7.73, 11.62]	
[MLPAvsLLPA4=1.00] * Time * APOE4Car	-0.91 [-7.13, 5.31]	-5.12 [-12.56, 2.33]	-3.19 [-9.08, 2.70]	1.43 [-8.49, 11.36]	-1.35 [-9.85, 7.14]	2.86 [-4.41, 10.13]	-2.95 [-13.56, 7.65]	
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	-0.29 [-1.75, 1.16]	1.03 [-0.71, 2.77]	1.49 [0.11, 2.87]*	-1.80 [-4.12, 0.53]	-0.55 [-2.54, 1.44]	-0.56 [-2.26, 1.14]	0.05 [-3.17, 3.27]	
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	1.31 [0.01, 2.60]*	2.23 [0.67, 3.78]**	0.70 [-0.53, 1.94]	0.49 [-1.58, 2.57]	1.10 [-0.67, 2.88]	0.29 [-1.22, 1.81]	-0.40 [-3.21, 2.41]	
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	0.37 [-1.20, 1.94]	1.49 [-0.39, 3.38]	0.70 [-0.79, 2.19]	-0.63 [-3.14, 1.89]	0.25 [-1.90, 2.41]	-0.09 [-1.93, 1.74]	1.27 [-1.56, 4.10]	
Male	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAvsLLPA4=3.00] * Time * APOE4Car	3.05 [-3.01, 9.10]	2.40 [-6.16, 10.97]	-4.12 [-11.02, 2.77]	7.14 [-2.41, 16.69]	4.10 [-3.89, 12.10]	0.93 [-6.46, 8.31]	-5.92 [-18.23, 6.38]	
[MLPAvsLLPA4=2.00] * Time * APOE4Car	2.37 [-2.87, 7.61]	0.97 [-6.46, 8.40]	4.02 [-1.96, 10.00]	-0.10 [-8.39, 8.20]	3.03 [-3.92, 9.97]	-0.45 [-6.84, 5.95]	-11.84 [-22.70, -0.97]*	
[MLPAvsLLPA4=1.00] * Time * APOE4Car	5.14 [-1.37, 11.65]	4.86 [-4.33, 14.05]	0.38 [-7.02, 7.79]	7.17 [-3.06, 17.39]	3.80 [-4.76, 12.36]	1.43 [-6.50, 9.37]	-9.39 [-21.46, 2.68]	
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	-0.07 [-1.46, 1.32]	-0.09 [-2.07, 1.88]	1.31 [-0.28, 2.90]	-0.98 [-3.19, 1.24]	-0.71 [-2.56, 1.15]	0.00 [-1.69, 1.70]	1.74 [-1.41, 4.89]	
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	-0.41 [-1.58, 0.76]	-0.26 [-1.93, 1.40]	-0.81 [-2.15, 0.52]	-0.22 [-2.08, 1.65]	-0.59 [-2.15, 0.98]	0.29 [-1.14, 1.72]	3.17 [0.37, 5.96]*	
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	-0.92 [-2.48, 0.65]	-1.43 [-3.66, 0.80]	0.11 [-1.68, 1.90]	-1.00 [-3.49, 1.49]	-0.63 [-2.71, 1.46]	-0.47 [-2.38, 1.45]	2.66 [-0.42, 5.74]	
