ME	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAPos4=.00]	2.83 [1.21, 4.45]**	1.70 [0.06, 3.33]*	1.65 [0.25, 3.05]*	2.23 [0.51, 3.94]*	1.77 [0.33, 3.21]*	2.47 [0.51, 4.44]*	2.83 [0.56, 5.09]*	
Time	2.49 [1.92, 3.05]***	3.96 [3.23, 4.69]***	3.37 [2.80, 3.95]***	0.09 [-0.78, 0.97]	0.44 [-0.31, 1.18]	2.20 [1.53, 2.87]***	0.44 [-0.67, 1.56]	
TimeSqr	-0.38 [-0.50, -0.25]***	-0.60 [-0.76, -0.43]***	-0.54 [-0.67, -0.41]***	-0.18 [-0.38, 0.02]	-0.02 [-0.19, 0.15]	-0.23 [-0.38, -0.08]**	0.07 [-0.23, 0.36]	
[MLPAPos4=.00] * Time								
[MLPAPos4=.00] * TimeSqr								
Xi	Global Cog	Immediate memory	Delayed memory	Visuospatial	Language	Attention	Executive function	
[MLPAPos4=.00]								
Time								
TimeSqr								
[MLPAPos4=.00] * Time	-0.90 [-2.08, 0.27]	-2.92 [-4.44, -1.40]***	-1.29 [-2.49, -0.10]*	-0.53 [-2.36, 1.29]	0.24 [-1.31, 1.80]	0.81 [-0.58, 2.21]	0.27 [-2.04, 2.57]	
[MLPAPos4=.00] * TimeSqr	0.25 [-0.02, 0.52]x	0.74 [0.39, 1.09]***	0.28 [0.01, 0.56]*	0.05 [-0.38, 0.47]	-0.02 [-0.38, 0.34]	-0.13 [-0.45, 0.19]	-0.13 [-0.74, 0.48]	
