MLLLPA_AgeStratified_Model3		
Attention		Sig
[MLPAvsLLPA4=3.00]	-0.18 [-4.07, 3.72]	0.93
[MLPAvsLLPA4=2.00]	0.23 [-3.10, 3.57]	0.89
[MLPAvsLLPA4=1.00]	2.92 [-0.66, 6.50]	0.11
Time	2.70 [1.81, 3.59]***	0.00
TimeSqr	-0.27 [-0.48, -0.07]**	0.01
MLLLPA_AgeStratified_Model3		
Delayed memory		Sig
[MLPAvsLLPA4=3.00]	-1.43 [-4.03, 1.17]	0.28
[MLPAvsLLPA4=2.00]	1.44 [-0.79, 3.66]	0.20
[MLPAvsLLPA4=1.00]	1.91 [-0.47, 4.29]	0.12
Time	3.35 [2.60, 4.10]***	0.00
TimeSqr	-0.50 [-0.67, -0.33]***	0.00
MLLLPA_AgeStratified_Model3		
Executive function		Sig
[MLPAvsLLPA4=3.00]	-1.66 [-5.88, 2.56]	0.44
[MLPAvsLLPA4=2.00]	0.56 [-3.21, 4.34]	0.77
[MLPAvsLLPA4=1.00]	5.17 [1.24, 9.11]*	0.01
Time	0.79 [-0.60, 2.17]	0.27
TimeSqr	0.03 [-0.34, 0.39]	0.88
MLLLPA_AgeStratified_Model3		
Global Cog		Sig
[MLPAvsLLPA4=3.00]	-1.75 [-4.83, 1.33]	0.27
[MLPAvsLLPA4=2.00]	0.86 [-1.78, 3.50]	0.52
[MLPAvsLLPA4=1.00]	3.50 [0.67, 6.33]*	0.02
Time	2.75 [1.99, 3.51]***	0.00
TimeSqr	-0.38 [-0.55, -0.20]***	0.00
MLLLPA_AgeStratified_Model3		
Immediate memory		Sig
[MLPAvsLLPA4=3.00]	-2.38 [-5.52, 0.76]	0.14
[MLPAvsLLPA4=2.00]	0.06 [-2.63, 2.75]	0.97
[MLPAvsLLPA4=1.00]	2.06 [-0.81, 4.93]	0.16
Time	4.24 [3.27, 5.22]***	0.00
TimeSqr	-0.55 [-0.77, -0.32]***	0.00
MLLLPA_AgeStratified_Model3		
Language		Sig
[MLPAvsLLPA4=3.00]	0.38 [-2.51, 3.28]	0.80
[MLPAvsLLPA4=2.00]	0.16 [-2.32, 2.65]	0.90
[MLPAvsLLPA4=1.00]	4.20 [1.55, 6.85]**	0.00
Time	0.37 [-0.62, 1.37]	0.46
TimeSqr	0.02 [-0.21, 0.25]	0.89
MLLLPA_AgeStratified_Model3		
Visuospatial		Sig
[MLPAvsLLPA4=3.00]	-2.77 [-6.20, 0.66]	0.11
[MLPAvsLLPA4=2.00]	1.20 [-1.74, 4.14]	0.42
[MLPAvsLLPA4=1.00]	1.23 [-1.90, 4.36]	0.44
Time	0.16 [-1.03, 1.35]	0.79
TimeSqr	-0.24 [-0.52, 0.03]	0.08
MLLLPA_AgeStratified_Model3		
Attention		Sig
[MLPAvsLLPA4=3.00]	-0.18 [-4.07, 3.72]	0.93
[MLPAvsLLPA4=2.00]	0.23 [-3.10, 3.57]	0.89
[MLPAvsLLPA4=1.00]	2.92 [-0.66, 6.50]	0.11
Time	2.70 [1.81, 3.59]***	0.00
TimeSqr	-0.27 [-0.48, -0.07]**	0.01
MLLLPA_AgeStratified_Model3		
Delayed memory		Sig
[MLPAvsLLPA4=3.00]	-1.43 [-4.03, 1.17]	0.28
[MLPAvsLLPA4=2.00]	1.44 [-0.79, 3.66]	0.20
[MLPAvsLLPA4=1.00]	1.91 [-0.47, 4.29]	0.12
Time	3.35 [2.60, 4.10]***	0.00
TimeSqr	-0.50 [-0.67, -0.33]***	0.00
MLLLPA_AgeStratified_Model3		
Executive function		Sig
[MLPAvsLLPA4=3.00]	-1.66 [-5.88, 2.56]	0.44
[MLPAvsLLPA4=2.00]	0.56 [-3.21, 4.34]	0.77
[MLPAvsLLPA4=1.00]	5.17 [1.24, 9.11]*	0.01
Time	0.79 [-0.60, 2.17]	0.27
TimeSqr	0.03 [-0.34, 0.39]	0.88
MLLLPA_AgeStratified_Model3		
Global Cog		Sig
[MLPAvsLLPA4=3.00]	-1.75 [-4.83, 1.33]	0.27
[MLPAvsLLPA4=2.00]	0.86 [-1.78, 3.50]	0.52
[MLPAvsLLPA4=1.00]	3.50 [0.67, 6.33]*	0.02
Time	2.75 [1.99, 3.51]***	0.00
TimeSqr	-0.38 [-0.55, -0.20]***	0.00
MLLLPA_AgeStratified_Model3		
Immediate memory		Sig
[MLPAvsLLPA4=3.00]	-2.38 [-5.52, 0.76]	0.14
[MLPAvsLLPA4=2.00]	0.06 [-2.63, 2.75]	0.97
[MLPAvsLLPA4=1.00]	2.06 [-0.81, 4.93]	0.16
Time	4.24 [3.27, 5.22]***	0.00
TimeSqr	-0.55 [-0.77, -0.32]***	0.00
MLLLPA_AgeStratified_Model3		
Language		Sig
[MLPAvsLLPA4=3.00]	0.38 [-2.51, 3.28]	0.80
[MLPAvsLLPA4=2.00]	0.16 [-2.32, 2.65]	0.90
[MLPAvsLLPA4=1.00]	4.20 [1.55, 6.85]**	0.00
Time	0.37 [-0.62, 1.37]	0.46
TimeSqr	0.02 [-0.21, 0.25]	0.89
