MLLLPAxAPOE_AgeStratified_Model3		
Attention		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-2.71 [-11.97, 6.55]	0.56
[MLPAvsLLPA4=2.00] * APOE4Car	-3.62 [-11.45, 4.22]	0.36
[MLPAvsLLPA4=1.00] * APOE4Car	-0.48 [-8.96, 8.01]	0.91
MLLLPAxAPOE_AgeStratified_Model3		
Delayed memory		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-2.39 [-8.61, 3.82]	0.45
[MLPAvsLLPA4=2.00] * APOE4Car	1.28 [-3.98, 6.53]	0.63
[MLPAvsLLPA4=1.00] * APOE4Car	0.53 [-5.15, 6.20]	0.85
MLLLPAxAPOE_AgeStratified_Model3		
Executive function		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-3.72 [-13.52, 6.09]	0.46
[MLPAvsLLPA4=2.00] * APOE4Car	-8.82 [-17.38, -0.26]*	0.04
[MLPAvsLLPA4=1.00] * APOE4Car	-3.65 [-12.97, 5.66]	0.44
MLLLPAxAPOE_AgeStratified_Model3		
Global Cog		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-3.15 [-10.58, 4.29]	0.41
[MLPAvsLLPA4=2.00] * APOE4Car	-1.40 [-7.69, 4.89]	0.66
[MLPAvsLLPA4=1.00] * APOE4Car	0.77 [-6.04, 7.58]	0.82
MLLLPAxAPOE_AgeStratified_Model3		
Immediate memory		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-2.19 [-9.61, 5.23]	0.56
[MLPAvsLLPA4=2.00] * APOE4Car	0.94 [-5.33, 7.21]	0.77
[MLPAvsLLPA4=1.00] * APOE4Car	-0.74 [-7.50, 6.03]	0.83
MLLLPAxAPOE_AgeStratified_Model3		
Language		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	2.44 [-4.45, 9.33]	0.49
[MLPAvsLLPA4=2.00] * APOE4Car	0.52 [-5.30, 6.34]	0.86
[MLPAvsLLPA4=1.00] * APOE4Car	-2.12 [-8.39, 4.14]	0.51
MLLLPAxAPOE_AgeStratified_Model3		
Visuospatial		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-6.01 [-14.08, 2.07]	0.14
[MLPAvsLLPA4=2.00] * APOE4Car	-3.40 [-10.22, 3.42]	0.33
[MLPAvsLLPA4=1.00] * APOE4Car	6.37 [-0.97, 13.71]	0.09
