MLLLPAxTime_AgeStratified_Model3		
Attention		Sig
[MLPAvsLLPA4=3.00] * Time	-1.43 [-4.16, 1.29]	0.30
[MLPAvsLLPA4=3.00] * TimeSqr	0.39 [-0.23, 1.01]	0.22
[MLPAvsLLPA4=2.00] * Time	-0.15 [-2.52, 2.22]	0.90
[MLPAvsLLPA4=2.00] * TimeSqr	0.05 [-0.49, 0.59]	0.86
[MLPAvsLLPA4=1.00] * Time	-0.07 [-2.59, 2.45]	0.96
[MLPAvsLLPA4=1.00] * TimeSqr	0.14 [-0.45, 0.72]	0.64
MLLLPAxTime_AgeStratified_Model3		
Delayed memory		Sig
[MLPAvsLLPA4=3.00] * Time	-0.33 [-2.62, 1.95]	0.78
[MLPAvsLLPA4=3.00] * TimeSqr	0.22 [-0.30, 0.74]	0.41
[MLPAvsLLPA4=2.00] * Time	-1.23 [-3.22, 0.76]	0.22
[MLPAvsLLPA4=2.00] * TimeSqr	0.33 [-0.12, 0.79]	0.15
[MLPAvsLLPA4=1.00] * Time	-2.68 [-4.79, -0.56]*	0.01
[MLPAvsLLPA4=1.00] * TimeSqr	0.57 [0.08, 1.07]*	0.02
MLLLPAxTime_AgeStratified_Model3		
Executive function		Sig
[MLPAvsLLPA4=3.00] * Time	0.15 [-4.05, 4.36]	0.94
[MLPAvsLLPA4=3.00] * TimeSqr	-0.17 [-1.29, 0.94]	0.76
[MLPAvsLLPA4=2.00] * Time	2.23 [-1.39, 5.85]	0.23
[MLPAvsLLPA4=2.00] * TimeSqr	-0.50 [-1.45, 0.45]	0.30
[MLPAvsLLPA4=1.00] * Time	-0.27 [-4.13, 3.59]	0.89
[MLPAvsLLPA4=1.00] * TimeSqr	0.21 [-0.79, 1.22]	0.68
MLLLPAxTime_AgeStratified_Model3		
Global Cog		Sig
[MLPAvsLLPA4=3.00] * Time	-1.31 [-3.63, 1.00]	0.27
[MLPAvsLLPA4=3.00] * TimeSqr	0.40 [-0.13, 0.92]	0.14
[MLPAvsLLPA4=2.00] * Time	-1.08 [-3.09, 0.93]	0.29
[MLPAvsLLPA4=2.00] * TimeSqr	0.43 [-0.03, 0.89]x	0.07
[MLPAvsLLPA4=1.00] * Time	-1.67 [-3.81, 0.48]	0.13
[MLPAvsLLPA4=1.00] * TimeSqr	0.47 [-0.03, 0.96]x	0.07
MLLLPAxTime_AgeStratified_Model3		
Immediate memory		Sig
[MLPAvsLLPA4=3.00] * Time	-1.90 [-4.87, 1.08]	0.21
[MLPAvsLLPA4=3.00] * TimeSqr	0.54 [-0.14, 1.22]	0.12
[MLPAvsLLPA4=2.00] * Time	-2.12 [-4.70, 0.46]	0.11
[MLPAvsLLPA4=2.00] * TimeSqr	0.79 [0.20, 1.38]**	0.01
[MLPAvsLLPA4=1.00] * Time	-3.67 [-6.43, -0.92]**	0.01
[MLPAvsLLPA4=1.00] * TimeSqr	0.90 [0.26, 1.55]**	0.01
MLLLPAxTime_AgeStratified_Model3		
Language		Sig
[MLPAvsLLPA4=3.00] * Time	-0.52 [-3.56, 2.52]	0.74
[MLPAvsLLPA4=3.00] * TimeSqr	0.24 [-0.45, 0.94]	0.49
[MLPAvsLLPA4=2.00] * Time	-0.04 [-2.68, 2.60]	0.98
[MLPAvsLLPA4=2.00] * TimeSqr	0.21 [-0.40, 0.82]	0.50
[MLPAvsLLPA4=1.00] * Time	0.46 [-2.37, 3.28]	0.75
[MLPAvsLLPA4=1.00] * TimeSqr	0.00 [-0.66, 0.66]	1.00
MLLLPAxTime_AgeStratified_Model3		
Visuospatial		Sig
[MLPAvsLLPA4=3.00] * Time	0.06 [-3.59, 3.71]	0.97
[MLPAvsLLPA4=3.00] * TimeSqr	-0.14 [-0.98, 0.70]	0.74
[MLPAvsLLPA4=2.00] * Time	0.20 [-2.97, 3.37]	0.90
[MLPAvsLLPA4=2.00] * TimeSqr	-0.09 [-0.82, 0.64]	0.81
[MLPAvsLLPA4=1.00] * Time	0.19 [-3.19, 3.58]	0.91
[MLPAvsLLPA4=1.00] * TimeSqr	-0.04 [-0.84, 0.75]	0.92
