MLLLPAxTimexAPOE_AgeStratified_Model3		
Attention		Sig
[MLPAvsLLPA4=3.00] * Time * APOE4Car	4.16 [-2.15, 10.47]	0.20
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	-1.09 [-2.51, 0.33]	0.13
[MLPAvsLLPA4=2.00] * Time * APOE4Car	0.03 [-5.45, 5.51]	0.99
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	0.23 [-1.03, 1.50]	0.72
[MLPAvsLLPA4=1.00] * Time * APOE4Car	2.82 [-3.33, 8.96]	0.37
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	-0.70 [-2.20, 0.79]	0.36
MLLLPAxTimexAPOE_AgeStratified_Model3		
Delayed memory		Sig
[MLPAvsLLPA4=3.00] * Time * APOE4Car	-7.22 [-12.49, -1.95]**	0.01
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	1.83 [0.63, 3.02]**	0.00
[MLPAvsLLPA4=2.00] * Time * APOE4Car	-1.18 [-5.75, 3.40]	0.61
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	0.16 [-0.90, 1.22]	0.77
[MLPAvsLLPA4=1.00] * Time * APOE4Car	-0.27 [-5.41, 4.87]	0.92
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	0.05 [-1.21, 1.30]	0.94
MLLLPAxTimexAPOE_AgeStratified_Model3		
Executive function		Sig
[MLPAvsLLPA4=3.00] * Time * APOE4Car	-1.73 [-11.51, 8.06]	0.73
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	0.66 [-1.89, 3.20]	0.61
[MLPAvsLLPA4=2.00] * Time * APOE4Car	-0.04 [-8.38, 8.31]	0.99
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	0.07 [-2.14, 2.29]	0.95
[MLPAvsLLPA4=1.00] * Time * APOE4Car	-2.59 [-11.27, 6.08]	0.56
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	1.03 [-1.21, 3.28]	0.37
MLLLPAxTimexAPOE_AgeStratified_Model3		
Global Cog		Sig
[MLPAvsLLPA4=3.00] * Time * APOE4Car	2.48 [-2.88, 7.84]	0.36
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	-0.35 [-1.56, 0.86]	0.56
[MLPAvsLLPA4=2.00] * Time * APOE4Car	-1.86 [-6.51, 2.79]	0.43
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	0.40 [-0.67, 1.48]	0.46
[MLPAvsLLPA4=1.00] * Time * APOE4Car	2.17 [-3.05, 7.38]	0.42
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	-0.57 [-1.84, 0.70]	0.38
MLLLPAxTimexAPOE_AgeStratified_Model3		
Immediate memory		Sig
[MLPAvsLLPA4=3.00] * Time * APOE4Car	1.25 [-5.63, 8.12]	0.72
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	-0.17 [-1.73, 1.39]	0.83
[MLPAvsLLPA4=2.00] * Time * APOE4Car	-3.39 [-9.37, 2.59]	0.27
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	1.03 [-0.36, 2.42]	0.14
[MLPAvsLLPA4=1.00] * Time * APOE4Car	-1.12 [-7.84, 5.59]	0.74
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	-0.09 [-1.73, 1.55]	0.92
MLLLPAxTimexAPOE_AgeStratified_Model3		
Language		Sig
[MLPAvsLLPA4=3.00] * Time * APOE4Car	4.88 [-2.23, 11.99]	0.18
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	-1.14 [-2.75, 0.48]	0.17
[MLPAvsLLPA4=2.00] * Time * APOE4Car	-0.39 [-6.57, 5.80]	0.90
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	0.11 [-1.33, 1.55]	0.89
[MLPAvsLLPA4=1.00] * Time * APOE4Car	2.01 [-4.95, 8.97]	0.57
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	-0.54 [-2.24, 1.16]	0.53
MLLLPAxTimexAPOE_AgeStratified_Model3		
Visuospatial		Sig
[MLPAvsLLPA4=3.00] * Time * APOE4Car	6.27 [-2.17, 14.70]	0.14
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	-1.03 [-2.95, 0.89]	0.29
[MLPAvsLLPA4=2.00] * Time * APOE4Car	0.22 [-7.12, 7.56]	0.95
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	-0.53 [-2.24, 1.18]	0.54
[MLPAvsLLPA4=1.00] * Time * APOE4Car	2.88 [-5.37, 11.14]	0.49
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	-0.54 [-2.56, 1.48]	0.60
