MLLLPA_AgeStratified_Model3		
Attention		Sig
[MLPAvsLLPA4=3.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00]	0.00 [0.00, 0.00]***	0.00
Time	0.00 [0.00, 0.00]***	0.00
TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPA_AgeStratified_Model3		
Delayed memory		Sig
[MLPAvsLLPA4=3.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00]	0.00 [0.00, 0.00]***	0.00
Time	0.00 [0.00, 0.00]***	0.00
TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPA_AgeStratified_Model3		
Executive function		Sig
[MLPAvsLLPA4=3.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00]	0.00 [0.00, 0.00]***	0.00
Time	0.00 [0.00, 0.00]***	0.00
TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPA_AgeStratified_Model3		
Global Cog		Sig
[MLPAvsLLPA4=3.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00]	0.00 [0.00, 0.00]***	0.00
Time	0.00 [0.00, 0.00]***	0.00
TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPA_AgeStratified_Model3		
Immediate memory		Sig
[MLPAvsLLPA4=3.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00]	0.00 [0.00, 0.00]***	0.00
Time	0.00 [0.00, 0.00]***	0.00
TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPA_AgeStratified_Model3		
Language		Sig
[MLPAvsLLPA4=3.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00]	0.00 [0.00, 0.00]***	0.00
Time	0.00 [0.00, 0.00]***	0.00
TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPA_AgeStratified_Model3		
Visuospatial		Sig
[MLPAvsLLPA4=3.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00]	0.00 [0.00, 0.00]***	0.00
Time	0.00 [0.00, 0.00]***	0.00
TimeSqr	0.00 [0.00, 0.00]***	0.00
