MLLLPA_AgeStratified_Model3		
Attention		Sig
[MLPAvsLLPA4=3.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00]	0.00 [0.00, 0.00]***	0.00
Time	0.00 [0.00, 0.00]***	0.00
TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPA_AgeStratified_Model3		
Delayed memory		Sig
[MLPAvsLLPA4=3.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00]	0.00 [0.00, 0.00]***	0.00
Time	0.00 [0.00, 0.00]***	0.00
TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPA_AgeStratified_Model3		
Executive function		Sig
[MLPAvsLLPA4=3.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00]	0.00 [0.00, 0.00]***	0.00
Time	0.00 [0.00, 0.00]***	0.00
TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPA_AgeStratified_Model3		
Global Cog		Sig
[MLPAvsLLPA4=3.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00]	0.00 [0.00, 0.00]***	0.00
Time	0.00 [0.00, 0.00]***	0.00
TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPA_AgeStratified_Model3		
Immediate memory		Sig
[MLPAvsLLPA4=3.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00]	0.00 [0.00, 0.00]***	0.00
Time	0.00 [0.00, 0.00]***	0.00
TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPA_AgeStratified_Model3		
Language		Sig
[MLPAvsLLPA4=3.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00]	0.00 [0.00, 0.00]***	0.00
Time	0.00 [0.00, 0.00]***	0.00
TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPA_AgeStratified_Model3		
Visuospatial		Sig
[MLPAvsLLPA4=3.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=2.00]	0.00 [0.00, 0.00]***	0.00
[MLPAvsLLPA4=1.00]	0.00 [0.00, 0.00]***	0.00
Time	0.00 [0.00, 0.00]***	0.00
TimeSqr	0.00 [0.00, 0.00]***	0.00
MLLLPA_AgeStratified_Model3		
Attention		Sig
[MLPAvsLLPA4=3.00]	5.17 [-1.38, 11.72]	0.12
[MLPAvsLLPA4=2.00]	3.87 [-0.24, 7.98]x	0.07
[MLPAvsLLPA4=1.00]	3.78 [-1.14, 8.71]	0.13
Time	0.70 [-0.47, 1.87]	0.24
TimeSqr	-0.07 [-0.34, 0.19]	0.58
MLLLPA_AgeStratified_Model3		
Delayed memory		Sig
[MLPAvsLLPA4=3.00]	1.95 [-3.27, 7.16]	0.46
[MLPAvsLLPA4=2.00]	1.32 [-1.95, 4.60]	0.43
[MLPAvsLLPA4=1.00]	-0.94 [-4.86, 2.99]	0.64
Time	3.08 [1.99, 4.18]***	0.00
TimeSqr	-0.55 [-0.80, -0.31]***	0.00
MLLLPA_AgeStratified_Model3		
Executive function		Sig
[MLPAvsLLPA4=3.00]	3.53 [-4.64, 11.70]	0.40
[MLPAvsLLPA4=2.00]	5.02 [-0.05, 10.09]x	0.05
[MLPAvsLLPA4=1.00]	1.18 [-4.85, 7.22]	0.70
Time	-1.16 [-3.42, 1.10]	0.31
TimeSqr	0.23 [-0.37, 0.83]	0.46
MLLLPA_AgeStratified_Model3		
Global Cog		Sig
[MLPAvsLLPA4=3.00]	2.84 [-2.67, 8.34]	0.31
[MLPAvsLLPA4=2.00]	2.49 [-0.96, 5.94]	0.16
[MLPAvsLLPA4=1.00]	1.27 [-2.87, 5.41]	0.55
Time	1.40 [0.43, 2.38]**	0.01
TimeSqr	-0.28 [-0.50, -0.06]*	0.01
MLLLPA_AgeStratified_Model3		
Immediate memory		Sig
[MLPAvsLLPA4=3.00]	2.35 [-3.50, 8.20]	0.43
[MLPAvsLLPA4=2.00]	1.32 [-2.36, 5.00]	0.48
[MLPAvsLLPA4=1.00]	1.00 [-3.41, 5.40]	0.66
Time	3.17 [1.89, 4.46]***	0.00
TimeSqr	-0.59 [-0.88, -0.30]***	0.00
MLLLPA_AgeStratified_Model3		
Language		Sig
[MLPAvsLLPA4=3.00]	-0.08 [-4.91, 4.75]	0.97
[MLPAvsLLPA4=2.00]	-0.47 [-3.52, 2.58]	0.76
[MLPAvsLLPA4=1.00]	2.25 [-1.39, 5.89]	0.23
Time	0.32 [-1.04, 1.67]	0.65
TimeSqr	-0.09 [-0.40, 0.21]	0.55
MLLLPA_AgeStratified_Model3		
Visuospatial		Sig
[MLPAvsLLPA4=3.00]	0.39 [-5.52, 6.31]	0.90
[MLPAvsLLPA4=2.00]	2.45 [-1.29, 6.19]	0.20
[MLPAvsLLPA4=1.00]	-1.42 [-5.88, 3.04]	0.53
Time	-0.91 [-2.48, 0.67]	0.26
TimeSqr	0.04 [-0.31, 0.40]	0.81
