MLPAxTimexAPOE_AgeStratified_Model3		
Attention		Sig
[MLPAPos4=.00] * Time * APOE4Car	1.89 [-4.54, 8.32]	0.56
[MLPAPos4=.00] * TimeSqr * APOE4Car	-0.27 [-1.79, 1.26]	0.73
MLPAxTimexAPOE_AgeStratified_Model3		
Delayed memory		Sig
[MLPAPos4=.00] * Time * APOE4Car	2.59 [-3.36, 8.54]	0.39
[MLPAPos4=.00] * TimeSqr * APOE4Car	-0.65 [-2.06, 0.77]	0.37
MLPAxTimexAPOE_AgeStratified_Model3		
Executive function		Sig
[MLPAPos4=.00] * Time * APOE4Car	-13.17 [-24.78, -1.56]*	0.03
[MLPAPos4=.00] * TimeSqr * APOE4Car	3.75 [0.62, 6.89]*	0.02
MLPAxTimexAPOE_AgeStratified_Model3		
Global Cog		Sig
[MLPAPos4=.00] * Time * APOE4Car	1.80 [-3.56, 7.15]	0.51
[MLPAPos4=.00] * TimeSqr * APOE4Car	-0.13 [-1.39, 1.14]	0.84
MLPAxTimexAPOE_AgeStratified_Model3		
Immediate memory		Sig
[MLPAPos4=.00] * Time * APOE4Car	3.51 [-3.50, 10.52]	0.33
[MLPAPos4=.00] * TimeSqr * APOE4Car	-0.27 [-1.94, 1.40]	0.75
MLPAxTimexAPOE_AgeStratified_Model3		
Language		Sig
[MLPAPos4=.00] * Time * APOE4Car	-3.34 [-10.78, 4.11]	0.38
[MLPAPos4=.00] * TimeSqr * APOE4Car	0.66 [-1.12, 2.44]	0.47
MLPAxTimexAPOE_AgeStratified_Model3		
Visuospatial		Sig
[MLPAPos4=.00] * Time * APOE4Car	-1.28 [-9.91, 7.35]	0.77
[MLPAPos4=.00] * TimeSqr * APOE4Car	0.48 [-1.58, 2.54]	0.65
