MLPA_APOEStrat_ME_Model2		
Attention		Sig
[MLPAPos4=.00]	2.40 [0.04, 4.77]*	0.05
Time	1.96 [1.16, 2.75]***	0.00
TimeSqr	-0.19 [-0.38, -0.01]*	0.04
MLPA_APOEStrat_ME_Model2		
Delayed memory		Sig
[MLPAPos4=.00]	1.94 [0.36, 3.53]*	0.02
Time	3.23 [2.55, 3.91]***	0.00
TimeSqr	-0.52 [-0.67, -0.36]***	0.00
MLPA_APOEStrat_ME_Model2		
Executive function		Sig
[MLPAPos4=.00]	4.10 [1.44, 6.76]**	0.00
Time	0.79 [-0.56, 2.14]	0.25
TimeSqr	-0.06 [-0.42, 0.30]	0.75
MLPA_APOEStrat_ME_Model2		
Global Cog		Sig
[MLPAPos4=.00]	3.15 [1.21, 5.08]**	0.00
Time	2.51 [1.83, 3.19]***	0.00
TimeSqr	-0.39 [-0.54, -0.23]***	0.00
MLPA_APOEStrat_ME_Model2		
Immediate memory		Sig
[MLPAPos4=.00]	2.06 [0.10, 4.01]*	0.04
Time	3.73 [2.86, 4.60]***	0.00
TimeSqr	-0.53 [-0.73, -0.33]***	0.00
MLPA_APOEStrat_ME_Model2		
Language		Sig
[MLPAPos4=.00]	1.81 [0.12, 3.50]*	0.04
Time	0.60 [-0.31, 1.50]	0.20
TimeSqr	-0.05 [-0.26, 0.16]	0.65
MLPA_APOEStrat_ME_Model2		
Visuospatial		Sig
[MLPAPos4=.00]	2.41 [0.40, 4.43]*	0.02
Time	0.00 [-1.03, 1.04]	1.00
TimeSqr	-0.18 [-0.42, 0.06]	0.14
