NewTestModel		
Attention		Sig
[MLPAPos4=.00]	2.52 [0.44, 4.60]*	0.02
Time	2.04 [1.33, 2.75]***	0.00
TimeSqr	-0.21 [-0.37, -0.05]*	0.01
NewTestModel		
Delayed memory		Sig
[MLPAPos4=.00]	1.58 [0.09, 3.06]*	0.04
Time	3.29 [2.67, 3.91]***	0.00
TimeSqr	-0.52 [-0.67, -0.38]***	0.00
NewTestModel		
Executive function		Sig
[MLPAPos4=.00]	3.00 [0.58, 5.41]*	0.01
Time	0.11 [-1.09, 1.30]	0.86
TimeSqr	0.11 [-0.20, 0.43]	0.49
NewTestModel		
Global Cog		Sig
[MLPAPos4=.00]	2.67 [0.98, 4.36]**	0.00
Time	2.32 [1.72, 2.92]***	0.00
TimeSqr	-0.35 [-0.48, -0.21]***	0.00
NewTestModel		
Immediate memory		Sig
[MLPAPos4=.00]	1.65 [-0.09, 3.39]x	0.06
Time	3.93 [3.15, 4.71]***	0.00
TimeSqr	-0.57 [-0.75, -0.40]***	0.00
NewTestModel		
Language		Sig
[MLPAPos4=.00]	1.82 [0.27, 3.37]*	0.02
Time	0.39 [-0.41, 1.19]	0.34
TimeSqr	-0.02 [-0.21, 0.16]	0.80
NewTestModel		
Visuospatial		Sig
[MLPAPos4=.00]	1.83 [-0.01, 3.66]x	0.05
Time	-0.20 [-1.16, 0.75]	0.67
TimeSqr	-0.14 [-0.35, 0.08]	0.22
