MLLLPA_SexStratified_Model3.txt		
Attention		Sig
[MLPAvsLLPA4=3.00]	0.23 [-4.57, 5.04]	0.92
[MLPAvsLLPA4=2.00]	1.57 [-2.17, 5.31]	0.41
[MLPAvsLLPA4=1.00]	2.96 [-1.28, 7.21]	0.17
Time	1.78 [0.82, 2.75]***	0.00
TimeSqr	-0.12 [-0.34, 0.10]	0.28
MLLLPA_SexStratified_Model3.txt		
Delayed memory		Sig
[MLPAvsLLPA4=3.00]	-0.89 [-3.96, 2.17]	0.57
[MLPAvsLLPA4=2.00]	1.51 [-0.88, 3.90]	0.21
[MLPAvsLLPA4=1.00]	0.95 [-1.76, 3.65]	0.49
Time	3.14 [2.35, 3.93]***	0.00
TimeSqr	-0.44 [-0.62, -0.26]***	0.00
MLLLPA_SexStratified_Model3.txt		
Executive function		Sig
[MLPAvsLLPA4=3.00]	1.50 [-3.77, 6.78]	0.57
[MLPAvsLLPA4=2.00]	3.72 [-0.46, 7.90]	0.08
[MLPAvsLLPA4=1.00]	4.92 [0.20, 9.63]*	0.04
Time	-0.01 [-1.59, 1.57]	0.99
TimeSqr	0.05 [-0.36, 0.47]	0.80
MLLLPA_SexStratified_Model3.txt		
Global Cog		Sig
[MLPAvsLLPA4=3.00]	-0.92 [-4.75, 2.90]	0.64
[MLPAvsLLPA4=2.00]	1.69 [-1.29, 4.66]	0.27
[MLPAvsLLPA4=1.00]	2.01 [-1.37, 5.38]	0.24
Time	2.19 [1.36, 3.02]***	0.00
TimeSqr	-0.26 [-0.45, -0.08]**	0.01
MLLLPA_SexStratified_Model3.txt		
Immediate memory		Sig
[MLPAvsLLPA4=3.00]	-2.15 [-5.80, 1.51]	0.25
[MLPAvsLLPA4=2.00]	0.68 [-2.16, 3.52]	0.64
[MLPAvsLLPA4=1.00]	1.00 [-2.21, 4.22]	0.54
Time	4.15 [3.15, 5.15]***	0.00
TimeSqr	-0.57 [-0.80, -0.34]***	0.00
MLLLPA_SexStratified_Model3.txt		
Language		Sig
[MLPAvsLLPA4=3.00]	0.68 [-2.87, 4.23]	0.70
[MLPAvsLLPA4=2.00]	0.01 [-2.75, 2.77]	0.99
[MLPAvsLLPA4=1.00]	3.61 [0.50, 6.73]*	0.02
Time	-0.88 [-1.99, 0.24]	0.12
TimeSqr	0.18 [-0.08, 0.44]	0.17
MLLLPA_SexStratified_Model3.txt		
Visuospatial		Sig
[MLPAvsLLPA4=3.00]	-1.30 [-5.56, 2.96]	0.55
[MLPAvsLLPA4=2.00]	2.11 [-1.20, 5.42]	0.21
[MLPAvsLLPA4=1.00]	-1.06 [-4.80, 2.68]	0.58
Time	0.27 [-1.04, 1.58]	0.69
TimeSqr	-0.16 [-0.46, 0.14]	0.30
