MLLLPAxAPOE_SexStratified_Model3.txt		
Attention		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-1.59 [-13.70, 10.52]	0.80
[MLPAvsLLPA4=2.00] * APOE4Car	2.46 [-6.10, 11.01]	0.57
[MLPAvsLLPA4=1.00] * APOE4Car	2.42 [-7.68, 12.52]	0.64
MLLLPAxAPOE_SexStratified_Model3.txt		
Delayed memory		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	2.46 [-5.21, 10.13]	0.53
[MLPAvsLLPA4=2.00] * APOE4Car	-0.67 [-6.09, 4.75]	0.81
[MLPAvsLLPA4=1.00] * APOE4Car	-0.93 [-7.29, 5.44]	0.78
MLLLPAxAPOE_SexStratified_Model3.txt		
Executive function		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-1.06 [-13.96, 11.83]	0.87
[MLPAvsLLPA4=2.00] * APOE4Car	-6.80 [-16.29, 2.68]	0.16
[MLPAvsLLPA4=1.00] * APOE4Car	-4.01 [-15.03, 7.01]	0.47
MLLLPAxAPOE_SexStratified_Model3.txt		
Global Cog		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-0.32 [-9.95, 9.31]	0.95
[MLPAvsLLPA4=2.00] * APOE4Car	0.47 [-6.33, 7.28]	0.89
[MLPAvsLLPA4=1.00] * APOE4Car	0.36 [-7.66, 8.39]	0.93
MLLLPAxAPOE_SexStratified_Model3.txt		
Immediate memory		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	3.27 [-5.95, 12.50]	0.49
[MLPAvsLLPA4=2.00] * APOE4Car	-1.37 [-7.88, 5.15]	0.68
[MLPAvsLLPA4=1.00] * APOE4Car	0.10 [-7.54, 7.74]	0.98
MLLLPAxAPOE_SexStratified_Model3.txt		
Language		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	2.46 [-6.40, 11.32]	0.58
[MLPAvsLLPA4=2.00] * APOE4Car	4.40 [-1.87, 10.67]	0.17
[MLPAvsLLPA4=1.00] * APOE4Car	-2.23 [-9.54, 5.09]	0.55
MLLLPAxAPOE_SexStratified_Model3.txt		
Visuospatial		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-7.81 [-18.41, 2.78]	0.15
[MLPAvsLLPA4=2.00] * APOE4Car	-1.75 [-9.24, 5.74]	0.65
[MLPAvsLLPA4=1.00] * APOE4Car	3.97 [-4.78, 12.72]	0.37
