MLLLPAxTime_SexStratified_Model3.txt		
Attention		Sig
[MLPAvsLLPA4=3.00] * Time	0.76 [-2.54, 4.06]	0.65
[MLPAvsLLPA4=2.00] * Time	0.74 [-1.84, 3.33]	0.57
[MLPAvsLLPA4=1.00] * Time	0.72 [-2.22, 3.65]	0.63
[MLPAvsLLPA4=3.00] * TimeSqr	0.01 [-0.74, 0.75]	0.99
[MLPAvsLLPA4=2.00] * TimeSqr	0.02 [-0.57, 0.62]	0.94
[MLPAvsLLPA4=1.00] * TimeSqr	-0.03 [-0.72, 0.66]	0.93
MLLLPAxTime_SexStratified_Model3.txt		
Delayed memory		Sig
[MLPAvsLLPA4=3.00] * Time	-2.01 [-4.70, 0.67]	0.14
[MLPAvsLLPA4=2.00] * Time	-0.46 [-2.56, 1.64]	0.67
[MLPAvsLLPA4=1.00] * Time	-1.79 [-4.18, 0.61]	0.14
[MLPAvsLLPA4=3.00] * TimeSqr	0.65 [0.05, 1.26]*	0.04
[MLPAvsLLPA4=2.00] * TimeSqr	0.16 [-0.32, 0.65]	0.51
[MLPAvsLLPA4=1.00] * TimeSqr	0.36 [-0.20, 0.93]	0.20
MLLLPAxTime_SexStratified_Model3.txt		
Executive function		Sig
[MLPAvsLLPA4=3.00] * Time	-2.65 [-8.00, 2.70]	0.33
[MLPAvsLLPA4=2.00] * Time	0.91 [-3.21, 5.03]	0.66
[MLPAvsLLPA4=1.00] * Time	0.73 [-3.93, 5.39]	0.76
[MLPAvsLLPA4=3.00] * TimeSqr	0.13 [-1.30, 1.57]	0.85
[MLPAvsLLPA4=2.00] * TimeSqr	-0.58 [-1.69, 0.53]	0.30
[MLPAvsLLPA4=1.00] * TimeSqr	-0.09 [-1.31, 1.13]	0.89
MLLLPAxTime_SexStratified_Model3.txt		
Global Cog		Sig
[MLPAvsLLPA4=3.00] * Time	-2.78 [-5.61, 0.04]x	0.05
[MLPAvsLLPA4=2.00] * Time	-1.14 [-3.36, 1.07]	0.31
[MLPAvsLLPA4=1.00] * Time	-1.41 [-3.93, 1.11]	0.27
[MLPAvsLLPA4=3.00] * TimeSqr	0.69 [0.05, 1.33]*	0.03
[MLPAvsLLPA4=2.00] * TimeSqr	0.36 [-0.15, 0.87]	0.17
[MLPAvsLLPA4=1.00] * TimeSqr	0.45 [-0.14, 1.04]	0.14
MLLLPAxTime_SexStratified_Model3.txt		
Immediate memory		Sig
[MLPAvsLLPA4=3.00] * Time	-3.04 [-6.44, 0.35]x	0.08
[MLPAvsLLPA4=2.00] * Time	-2.45 [-5.12, 0.21]x	0.07
[MLPAvsLLPA4=1.00] * Time	-4.76 [-7.79, -1.73]**	0.00
[MLPAvsLLPA4=3.00] * TimeSqr	0.81 [0.04, 1.57]*	0.04
[MLPAvsLLPA4=2.00] * TimeSqr	0.72 [0.10, 1.33]*	0.02
[MLPAvsLLPA4=1.00] * TimeSqr	1.00 [0.29, 1.72]**	0.01
MLLLPAxTime_SexStratified_Model3.txt		
Language		Sig
[MLPAvsLLPA4=3.00] * Time	-1.58 [-5.39, 2.22]	0.41
[MLPAvsLLPA4=2.00] * Time	-0.86 [-3.84, 2.13]	0.57
[MLPAvsLLPA4=1.00] * Time	1.47 [-1.92, 4.87]	0.40
[MLPAvsLLPA4=3.00] * TimeSqr	0.29 [-0.57, 1.16]	0.51
[MLPAvsLLPA4=2.00] * TimeSqr	0.16 [-0.53, 0.85]	0.65
[MLPAvsLLPA4=1.00] * TimeSqr	-0.21 [-1.02, 0.59]	0.60
MLLLPAxTime_SexStratified_Model3.txt		
Visuospatial		Sig
[MLPAvsLLPA4=3.00] * Time	-2.79 [-7.26, 1.68]	0.22
[MLPAvsLLPA4=2.00] * Time	-1.22 [-4.73, 2.29]	0.49
[MLPAvsLLPA4=1.00] * Time	-0.71 [-4.70, 3.28]	0.73
[MLPAvsLLPA4=3.00] * TimeSqr	0.35 [-0.67, 1.36]	0.50
[MLPAvsLLPA4=2.00] * TimeSqr	0.18 [-0.64, 0.99]	0.67
[MLPAvsLLPA4=1.00] * TimeSqr	0.39 [-0.55, 1.33]	0.41
