MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Attention		Sig
[MLPAvsLLPA4=3.00] * Time * APOE4Car	1.27 [-6.59, 9.14]	0.75
[MLPAvsLLPA4=2.00] * Time * APOE4Car	-0.07 [-6.24, 6.11]	0.98
[MLPAvsLLPA4=1.00] * Time * APOE4Car	2.86 [-4.41, 10.13]	0.44
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	-0.56 [-2.26, 1.14]	0.52
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	0.29 [-1.22, 1.81]	0.70
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	-0.09 [-1.93, 1.74]	0.92
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Delayed memory		Sig
[MLPAvsLLPA4=3.00] * Time * APOE4Car	-6.86 [-13.22, -0.51]*	0.03
[MLPAvsLLPA4=2.00] * Time * APOE4Car	-2.69 [-7.69, 2.30]	0.29
[MLPAvsLLPA4=1.00] * Time * APOE4Car	-3.19 [-9.08, 2.70]	0.29
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	1.49 [0.11, 2.87]*	0.04
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	0.70 [-0.53, 1.94]	0.26
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	0.70 [-0.79, 2.19]	0.36
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Executive function		Sig
[MLPAvsLLPA4=3.00] * Time * APOE4Car	1.50 [-10.88, 13.89]	0.81
[MLPAvsLLPA4=2.00] * Time * APOE4Car	1.95 [-7.73, 11.62]	0.69
[MLPAvsLLPA4=1.00] * Time * APOE4Car	-2.95 [-13.56, 7.65]	0.58
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	0.05 [-3.17, 3.27]	0.98
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	-0.40 [-3.21, 2.41]	0.78
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	1.27 [-1.56, 4.10]	0.38
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Global Cog		Sig
[MLPAvsLLPA4=3.00] * Time * APOE4Car	0.98 [-5.75, 7.70]	0.78
[MLPAvsLLPA4=2.00] * Time * APOE4Car	-3.89 [-9.17, 1.39]	0.15
[MLPAvsLLPA4=1.00] * Time * APOE4Car	-0.91 [-7.13, 5.31]	0.78
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	-0.29 [-1.75, 1.16]	0.69
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	1.31 [0.01, 2.60]*	0.05
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	0.37 [-1.20, 1.94]	0.64
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Immediate memory		Sig
[MLPAvsLLPA4=3.00] * Time * APOE4Car	-6.29 [-14.31, 1.73]	0.12
[MLPAvsLLPA4=2.00] * Time * APOE4Car	-5.26 [-11.57, 1.05]	0.10
[MLPAvsLLPA4=1.00] * Time * APOE4Car	-5.12 [-12.56, 2.33]	0.18
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	1.03 [-0.71, 2.77]	0.25
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	2.23 [0.67, 3.78]**	0.01
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	1.49 [-0.39, 3.38]	0.12
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Language		Sig
[MLPAvsLLPA4=3.00] * Time * APOE4Car	1.23 [-7.89, 10.35]	0.79
[MLPAvsLLPA4=2.00] * Time * APOE4Car	-4.28 [-11.46, 2.89]	0.24
[MLPAvsLLPA4=1.00] * Time * APOE4Car	-1.35 [-9.85, 7.14]	0.76
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	-0.55 [-2.54, 1.44]	0.59
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	1.10 [-0.67, 2.88]	0.22
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	0.25 [-1.90, 2.41]	0.82
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Visuospatial		Sig
[MLPAvsLLPA4=3.00] * Time * APOE4Car	10.35 [-0.31, 21.00]x	0.06
[MLPAvsLLPA4=2.00] * Time * APOE4Car	-1.63 [-10.01, 6.76]	0.70
[MLPAvsLLPA4=1.00] * Time * APOE4Car	1.43 [-8.49, 11.36]	0.78
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	-1.80 [-4.12, 0.53]	0.13
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	0.49 [-1.58, 2.57]	0.64
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	-0.63 [-3.14, 1.89]	0.63
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Attention		Sig
[MLPAvsLLPA4=3.00] * Time * APOE4Car	1.27 [-6.59, 9.14]	0.75
[MLPAvsLLPA4=2.00] * Time * APOE4Car	-0.07 [-6.24, 6.11]	0.98
[MLPAvsLLPA4=1.00] * Time * APOE4Car	2.86 [-4.41, 10.13]	0.44
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	-0.56 [-2.26, 1.14]	0.52
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	0.29 [-1.22, 1.81]	0.70
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	-0.09 [-1.93, 1.74]	0.92
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Delayed memory		Sig
[MLPAvsLLPA4=3.00] * Time * APOE4Car	-6.86 [-13.22, -0.51]*	0.03
[MLPAvsLLPA4=2.00] * Time * APOE4Car	-2.69 [-7.69, 2.30]	0.29
[MLPAvsLLPA4=1.00] * Time * APOE4Car	-3.19 [-9.08, 2.70]	0.29
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	1.49 [0.11, 2.87]*	0.04
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	0.70 [-0.53, 1.94]	0.26
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	0.70 [-0.79, 2.19]	0.36
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Executive function		Sig
[MLPAvsLLPA4=3.00] * Time * APOE4Car	1.50 [-10.88, 13.89]	0.81
[MLPAvsLLPA4=2.00] * Time * APOE4Car	1.95 [-7.73, 11.62]	0.69
[MLPAvsLLPA4=1.00] * Time * APOE4Car	-2.95 [-13.56, 7.65]	0.58
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	0.05 [-3.17, 3.27]	0.98
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	-0.40 [-3.21, 2.41]	0.78
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	1.27 [-1.56, 4.10]	0.38
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Global Cog		Sig
[MLPAvsLLPA4=3.00] * Time * APOE4Car	0.98 [-5.75, 7.70]	0.78
[MLPAvsLLPA4=2.00] * Time * APOE4Car	-3.89 [-9.17, 1.39]	0.15
[MLPAvsLLPA4=1.00] * Time * APOE4Car	-0.91 [-7.13, 5.31]	0.78
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	-0.29 [-1.75, 1.16]	0.69
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	1.31 [0.01, 2.60]*	0.05
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	0.37 [-1.20, 1.94]	0.64
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Immediate memory		Sig
[MLPAvsLLPA4=3.00] * Time * APOE4Car	-6.29 [-14.31, 1.73]	0.12
[MLPAvsLLPA4=2.00] * Time * APOE4Car	-5.26 [-11.57, 1.05]	0.10
[MLPAvsLLPA4=1.00] * Time * APOE4Car	-5.12 [-12.56, 2.33]	0.18
[MLPAvsLLPA4=3.00] * TimeSqr * APOE4Car	1.03 [-0.71, 2.77]	0.25
[MLPAvsLLPA4=2.00] * TimeSqr * APOE4Car	2.23 [0.67, 3.78]**	0.01
[MLPAvsLLPA4=1.00] * TimeSqr * APOE4Car	1.49 [-0.39, 3.38]	0.12
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Language		Sig
