MLPAStratified_APOE_ME_Model3		
Attention		Sig
[APOE4Car=0]	3.34 [-0.57, 7.24]	0.09
MLPAStratified_APOE_ME_Model3		
Delayed memory		Sig
[APOE4Car=0]	2.31 [-0.45, 5.08]	0.10
MLPAStratified_APOE_ME_Model3		
Executive function		Sig
[APOE4Car=0]	4.08 [-0.35, 8.51]x	0.07
MLPAStratified_APOE_ME_Model3		
Global Cog		Sig
[APOE4Car=0]	3.50 [0.49, 6.51]*	0.02
MLPAStratified_APOE_ME_Model3		
Immediate memory		Sig
[APOE4Car=0]	2.24 [-0.74, 5.22]	0.14
MLPAStratified_APOE_ME_Model3		
Language		Sig
[APOE4Car=0]	2.56 [-0.36, 5.48]	0.09
MLPAStratified_APOE_ME_Model3		
Visuospatial		Sig
[APOE4Car=0]	0.71 [-2.93, 4.34]	0.70
