MLPAMainEffectsModel1		
Attention		Sig
[MLPAPos4=.00]	2.47 [0.51, 4.44]*	0.01
Time	2.20 [1.53, 2.87]***	0.00
TimeSqr	-0.23 [-0.38, -0.08]**	0.00
MLPAMainEffectsModel1		
Delayed memory		Sig
[MLPAPos4=.00]	1.65 [0.25, 3.05]*	0.02
Time	3.37 [2.80, 3.95]***	0.00
TimeSqr	-0.54 [-0.67, -0.41]***	0.00
MLPAMainEffectsModel1		
Executive function		Sig
[MLPAPos4=.00]	2.83 [0.56, 5.09]*	0.01
Time	0.44 [-0.67, 1.56]	0.43
TimeSqr	0.07 [-0.23, 0.36]	0.65
MLPAMainEffectsModel1		
Global Cog		Sig
[MLPAPos4=.00]	2.83 [1.21, 4.45]**	0.00
Time	2.49 [1.92, 3.05]***	0.00
TimeSqr	-0.38 [-0.50, -0.25]***	0.00
MLPAMainEffectsModel1		
Immediate memory		Sig
[MLPAPos4=.00]	1.70 [0.06, 3.33]*	0.04
Time	3.96 [3.23, 4.69]***	0.00
TimeSqr	-0.60 [-0.76, -0.43]***	0.00
MLPAMainEffectsModel1		
Language		Sig
[MLPAPos4=.00]	1.77 [0.33, 3.21]*	0.02
Time	0.44 [-0.31, 1.18]	0.25
TimeSqr	-0.02 [-0.19, 0.15]	0.83
MLPAMainEffectsModel1		
Visuospatial		Sig
[MLPAPos4=.00]	2.23 [0.51, 3.94]*	0.01
Time	0.09 [-0.78, 0.97]	0.83
TimeSqr	-0.18 [-0.38, 0.02]	0.08
