MLPAMainEffectsModel2		
Attention		Sig
[MLPAPos4=.00]	1.97 [-0.00, 3.94]x	0.05
Time	2.25 [1.58, 2.93]***	0.00
TimeSqr	-0.24 [-0.40, -0.09]**	0.00
MLPAMainEffectsModel2		
Delayed memory		Sig
[MLPAPos4=.00]	1.67 [0.24, 3.09]*	0.02
Time	3.32 [2.73, 3.90]***	0.00
TimeSqr	-0.54 [-0.67, -0.41]***	0.00
MLPAMainEffectsModel2		
Executive function		Sig
[MLPAPos4=.00]	2.63 [0.36, 4.90]*	0.02
Time	0.22 [-0.91, 1.35]	0.70
TimeSqr	0.10 [-0.20, 0.40]	0.52
MLPAMainEffectsModel2		
Global Cog		Sig
[MLPAPos4=.00]	2.42 [0.80, 4.04]**	0.00
Time	2.47 [1.90, 3.05]***	0.00
TimeSqr	-0.38 [-0.51, -0.25]***	0.00
MLPAMainEffectsModel2		
Immediate memory		Sig
[MLPAPos4=.00]	1.52 [-0.14, 3.17]x	0.07
Time	3.91 [3.17, 4.65]***	0.00
TimeSqr	-0.59 [-0.76, -0.42]***	0.00
MLPAMainEffectsModel2		
Language		Sig
[MLPAPos4=.00]	1.67 [0.22, 3.12]*	0.02
Time	0.40 [-0.35, 1.15]	0.30
TimeSqr	-0.02 [-0.19, 0.16]	0.86
MLPAMainEffectsModel2		
Visuospatial		Sig
[MLPAPos4=.00]	1.65 [-0.07, 3.37]x	0.06
Time	-0.03 [-0.92, 0.86]	0.95
TimeSqr	-0.16 [-0.37, 0.04]	0.12
