MLLLPAxAPOE_Model2		
Attention		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-2.84 [-10.12, 4.44]	0.44
[MLPAvsLLPA4=2.00] * APOE4Car	1.25 [-4.67, 7.17]	0.68
[MLPAvsLLPA4=1.00] * APOE4Car	-3.47 [-10.17, 3.24]	0.31
MLLLPAxAPOE_Model2		
Delayed memory		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	2.38 [-2.87, 7.62]	0.37
[MLPAvsLLPA4=2.00] * APOE4Car	0.78 [-3.49, 5.05]	0.72
[MLPAvsLLPA4=1.00] * APOE4Car	0.93 [-3.90, 5.76]	0.71
MLLLPAxAPOE_Model2		
Executive function		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-2.67 [-10.64, 5.31]	0.51
[MLPAvsLLPA4=2.00] * APOE4Car	-5.11 [-11.88, 1.65]	0.14
[MLPAvsLLPA4=1.00] * APOE4Car	-3.24 [-11.05, 4.56]	0.41
MLLLPAxAPOE_Model2		
Global Cog		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	0.21 [-5.81, 6.23]	0.95
[MLPAvsLLPA4=2.00] * APOE4Car	0.08 [-4.82, 4.97]	0.98
[MLPAvsLLPA4=1.00] * APOE4Car	0.04 [-5.51, 5.58]	0.99
MLLLPAxAPOE_Model2		
Immediate memory		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	0.62 [-5.40, 6.65]	0.84
[MLPAvsLLPA4=2.00] * APOE4Car	-0.46 [-5.37, 4.45]	0.85
[MLPAvsLLPA4=1.00] * APOE4Car	1.45 [-4.11, 7.00]	0.61
MLLLPAxAPOE_Model2		
Language		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	3.82 [-1.47, 9.11]	0.16
[MLPAvsLLPA4=2.00] * APOE4Car	1.52 [-2.80, 5.85]	0.49
[MLPAvsLLPA4=1.00] * APOE4Car	-0.97 [-5.85, 3.91]	0.70
MLLLPAxAPOE_Model2		
Visuospatial		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-3.38 [-9.71, 2.96]	0.30
[MLPAvsLLPA4=2.00] * APOE4Car	-2.19 [-7.36, 2.99]	0.41
[MLPAvsLLPA4=1.00] * APOE4Car	3.51 [-2.34, 9.36]	0.24
