MLLLPAxtime_Model3		
Attention		Sig
[MLPAvsLLPA4=3.00] * Time	-0.82 [-3.16, 1.52]	0.49
[MLPAvsLLPA4=2.00] * Time	0.55 [-1.31, 2.41]	0.56
[MLPAvsLLPA4=1.00] * Time	0.42 [-1.63, 2.46]	0.69
[MLPAvsLLPA4=3.00] * TimeSqr	0.27 [-0.26, 0.80]	0.32
[MLPAvsLLPA4=2.00] * TimeSqr	-0.10 [-0.52, 0.33]	0.65
[MLPAvsLLPA4=1.00] * TimeSqr	-0.00 [-0.48, 0.47]	0.99
MLLLPAxtime_Model3		
Delayed memory		Sig
[MLPAvsLLPA4=3.00] * Time	-0.32 [-2.36, 1.72]	0.76
[MLPAvsLLPA4=2.00] * Time	-0.54 [-2.16, 1.08]	0.51
[MLPAvsLLPA4=1.00] * Time	-2.07 [-3.85, -0.29]*	0.02
[MLPAvsLLPA4=3.00] * TimeSqr	0.23 [-0.23, 0.70]	0.33
[MLPAvsLLPA4=2.00] * TimeSqr	0.13 [-0.24, 0.51]	0.48
[MLPAvsLLPA4=1.00] * TimeSqr	0.48 [0.07, 0.90]*	0.02
MLLLPAxtime_Model3		
Executive function		Sig
[MLPAvsLLPA4=3.00] * Time	0.18 [-3.65, 4.02]	0.93
[MLPAvsLLPA4=2.00] * Time	1.59 [-1.49, 4.66]	0.31
[MLPAvsLLPA4=1.00] * Time	0.12 [-3.28, 3.51]	0.95
[MLPAvsLLPA4=3.00] * TimeSqr	-0.16 [-1.17, 0.85]	0.76
[MLPAvsLLPA4=2.00] * TimeSqr	-0.49 [-1.30, 0.33]	0.24
[MLPAvsLLPA4=1.00] * TimeSqr	0.09 [-0.80, 0.98]	0.84
MLLLPAxtime_Model3		
Global Cog		Sig
[MLPAvsLLPA4=3.00] * Time	-1.12 [-3.09, 0.86]	0.27
[MLPAvsLLPA4=2.00] * Time	-0.58 [-2.15, 0.99]	0.47
[MLPAvsLLPA4=1.00] * Time	-1.81 [-3.54, -0.09]*	0.04
[MLPAvsLLPA4=3.00] * TimeSqr	0.35 [-0.10, 0.80]	0.13
[MLPAvsLLPA4=2.00] * TimeSqr	0.20 [-0.15, 0.56]	0.26
[MLPAvsLLPA4=1.00] * TimeSqr	0.46 [0.06, 0.86]*	0.03
MLLLPAxtime_Model3		
Immediate memory		Sig
[MLPAvsLLPA4=3.00] * Time	-1.94 [-4.50, 0.61]	0.14
[MLPAvsLLPA4=2.00] * Time	-2.05 [-4.08, -0.02]*	0.05
[MLPAvsLLPA4=1.00] * Time	-4.26 [-6.49, -2.03]***	0.00
[MLPAvsLLPA4=3.00] * TimeSqr	0.65 [0.06, 1.23]*	0.03
[MLPAvsLLPA4=2.00] * TimeSqr	0.70 [0.23, 1.16]**	0.00
[MLPAvsLLPA4=1.00] * TimeSqr	1.01 [0.49, 1.53]***	0.00
MLLLPAxtime_Model3		
Language		Sig
[MLPAvsLLPA4=3.00] * Time	-0.26 [-2.89, 2.38]	0.85
[MLPAvsLLPA4=2.00] * Time	-0.18 [-2.27, 1.91]	0.87
[MLPAvsLLPA4=1.00] * Time	0.75 [-1.56, 3.05]	0.53
[MLPAvsLLPA4=3.00] * TimeSqr	0.09 [-0.52, 0.69]	0.78
[MLPAvsLLPA4=2.00] * TimeSqr	0.07 [-0.41, 0.55]	0.78
[MLPAvsLLPA4=1.00] * TimeSqr	-0.17 [-0.71, 0.37]	0.55
MLLLPAxtime_Model3		
Visuospatial		Sig
[MLPAvsLLPA4=3.00] * Time	-0.36 [-3.48, 2.77]	0.82
[MLPAvsLLPA4=2.00] * Time	0.07 [-2.41, 2.55]	0.95
[MLPAvsLLPA4=1.00] * Time	-1.33 [-4.07, 1.40]	0.34
[MLPAvsLLPA4=3.00] * TimeSqr	-0.08 [-0.79, 0.64]	0.84
[MLPAvsLLPA4=2.00] * TimeSqr	-0.16 [-0.73, 0.41]	0.58
[MLPAvsLLPA4=1.00] * TimeSqr	0.29 [-0.35, 0.93]	0.37
