MLPAxSexxTime_Model3		
Attention		Sig
[MLPAPos4=.00] * Sex * Time	-0.01 [-2.98, 2.96]	0.99
[MLPAPos4=.00] * Sex * TimeSqr	-0.14 [-0.83, 0.54]	0.69
MLPAxSexxTime_Model3		
Delayed memory		Sig
[MLPAPos4=.00] * Sex * Time	-0.92 [-3.51, 1.66]	0.48
[MLPAPos4=.00] * Sex * TimeSqr	0.26 [-0.34, 0.85]	0.40
MLPAxSexxTime_Model3		
Executive function		Sig
[MLPAPos4=.00] * Sex * Time	-1.34 [-6.27, 3.59]	0.59
[MLPAPos4=.00] * Sex * TimeSqr	0.52 [-0.78, 1.82]	0.43
MLPAxSexxTime_Model3		
Global Cog		Sig
[MLPAPos4=.00] * Sex * Time	-0.28 [-2.79, 2.22]	0.82
[MLPAPos4=.00] * Sex * TimeSqr	-0.00 [-0.58, 0.57]	0.99
MLPAxSexxTime_Model3		
Immediate memory		Sig
[MLPAPos4=.00] * Sex * Time	0.87 [-2.37, 4.11]	0.60
[MLPAPos4=.00] * Sex * TimeSqr	0.04 [-0.71, 0.78]	0.93
MLPAxSexxTime_Model3		
Language		Sig
[MLPAPos4=.00] * Sex * Time	-0.81 [-4.15, 2.52]	0.63
[MLPAPos4=.00] * Sex * TimeSqr	0.06 [-0.72, 0.83]	0.89
MLPAxSexxTime_Model3		
Visuospatial		Sig
[MLPAPos4=.00] * Sex * Time	0.45 [-3.50, 4.41]	0.82
[MLPAPos4=.00] * Sex * TimeSqr	-0.35 [-1.27, 0.57]	0.46
