MOOODEL		
Attention		Sig
[MLPAPos4=.00]	0.85 [-3.59, 5.30]	0.71
Time	2.14 [0.71, 3.57]**	0.00
TimeSqr	-0.21 [-0.53, 0.11]	0.20
MOOODEL		
Delayed memory		Sig
[MLPAPos4=.00]	1.52 [-2.08, 5.11]	0.41
Time	3.72 [2.46, 4.99]***	0.00
TimeSqr	-0.63 [-0.91, -0.35]***	0.00
MOOODEL		
Executive function		Sig
[MLPAPos4=.00]	0.09 [-4.96, 5.15]	0.97
Time	-1.01 [-3.32, 1.31]	0.39
TimeSqr	0.47 [-0.12, 1.07]	0.12
MOOODEL		
Global Cog		Sig
[MLPAPos4=.00]	1.86 [-1.82, 5.53]	0.32
Time	2.03 [0.83, 3.22]**	0.00
TimeSqr	-0.29 [-0.56, -0.03]*	0.03
MOOODEL		
Immediate memory		Sig
[MLPAPos4=.00]	0.69 [-2.93, 4.32]	0.71
Time	3.88 [2.31, 5.45]***	0.00
TimeSqr	-0.63 [-0.98, -0.28]***	0.00
MOOODEL		
Language		Sig
[MLPAPos4=.00]	1.16 [-2.31, 4.63]	0.51
Time	-0.18 [-1.74, 1.38]	0.82
TimeSqr	0.07 [-0.28, 0.41]	0.70
MOOODEL		
Visuospatial		Sig
[MLPAPos4=.00]	2.99 [-1.20, 7.17]	0.16
Time	-0.31 [-2.26, 1.64]	0.76
TimeSqr	-0.06 [-0.49, 0.38]	0.79
MOOODEL		
Attention		Sig
[MLPAPos4=.00]	3.17 [0.68, 5.67]*	0.01
Time	1.75 [0.91, 2.59]***	0.00
TimeSqr	-0.17 [-0.36, 0.02]	0.09
MOOODEL		
Delayed memory		Sig
[MLPAPos4=.00]	2.10 [0.41, 3.79]*	0.01
Time	3.05 [2.33, 3.77]***	0.00
TimeSqr	-0.47 [-0.63, -0.30]***	0.00
MOOODEL		
Executive function		Sig
[MLPAPos4=.00]	4.58 [1.75, 7.42]**	0.00
Time	0.73 [-0.70, 2.16]	0.31
TimeSqr	-0.09 [-0.47, 0.29]	0.63
MOOODEL		
Global Cog		Sig
[MLPAPos4=.00]	3.54 [1.51, 5.56]**	0.00
Time	2.33 [1.62, 3.04]***	0.00
TimeSqr	-0.35 [-0.52, -0.19]***	0.00
MOOODEL		
Immediate memory		Sig
[MLPAPos4=.00]	2.32 [0.25, 4.39]*	0.03
Time	3.82 [2.90, 4.74]***	0.00
TimeSqr	-0.53 [-0.74, -0.32]***	0.00
MOOODEL		
Language		Sig
[MLPAPos4=.00]	1.95 [0.14, 3.76]*	0.04
Time	0.61 [-0.35, 1.58]	0.21
TimeSqr	-0.06 [-0.28, 0.16]	0.58
MOOODEL		
Visuospatial		Sig
[MLPAPos4=.00]	2.53 [0.40, 4.66]*	0.02
Time	-0.15 [-1.26, 0.96]	0.79
TimeSqr	-0.17 [-0.42, 0.09]	0.19
