MLLLPA_SexStratified_Model3.txt		
Attention		Sig
[MLPAvsLLPA4=3.00]	2.89 [-1.70, 7.48]	0.22
[MLPAvsLLPA4=2.00]	3.29 [-0.38, 6.96]x	0.08
[MLPAvsLLPA4=1.00]	4.42 [0.45, 8.38]*	0.03
Time	2.38 [1.33, 3.43]***	0.00
TimeSqr	-0.33 [-0.57, -0.09]**	0.01
MLLLPA_SexStratified_Model3.txt		
Delayed memory		Sig
[MLPAvsLLPA4=3.00]	-0.18 [-3.95, 3.58]	0.92
[MLPAvsLLPA4=2.00]	2.03 [-0.98, 5.04]	0.19
[MLPAvsLLPA4=1.00]	1.48 [-1.78, 4.73]	0.37
Time	3.49 [2.50, 4.48]***	0.00
TimeSqr	-0.64 [-0.87, -0.41]***	0.00
MLLLPA_SexStratified_Model3.txt		
Executive function		Sig
[MLPAvsLLPA4=3.00]	-2.25 [-7.79, 3.29]	0.42
[MLPAvsLLPA4=2.00]	0.55 [-4.02, 5.13]	0.81
[MLPAvsLLPA4=1.00]	2.73 [-2.09, 7.54]	0.27
Time	0.30 [-1.52, 2.13]	0.74
TimeSqr	0.17 [-0.31, 0.65]	0.48
MLLLPA_SexStratified_Model3.txt		
Global Cog		Sig
[MLPAvsLLPA4=3.00]	0.37 [-3.51, 4.24]	0.85
[MLPAvsLLPA4=2.00]	2.69 [-0.41, 5.79]	0.09
[MLPAvsLLPA4=1.00]	4.30 [0.95, 7.65]*	0.01
Time	2.45 [1.58, 3.32]***	0.00
TimeSqr	-0.45 [-0.65, -0.26]***	0.00
MLLLPA_SexStratified_Model3.txt		
Immediate memory		Sig
[MLPAvsLLPA4=3.00]	-0.05 [-4.39, 4.30]	0.98
[MLPAvsLLPA4=2.00]	1.60 [-1.88, 5.08]	0.37
[MLPAvsLLPA4=1.00]	3.18 [-0.57, 6.93]	0.10
Time	3.61 [2.38, 4.84]***	0.00
TimeSqr	-0.58 [-0.86, -0.29]***	0.00
MLLLPA_SexStratified_Model3.txt		
Language		Sig
[MLPAvsLLPA4=3.00]	0.31 [-3.10, 3.72]	0.86
[MLPAvsLLPA4=2.00]	0.71 [-2.02, 3.45]	0.61
[MLPAvsLLPA4=1.00]	3.94 [1.00, 6.89]**	0.01
Time	1.91 [0.78, 3.04]**	0.00
TimeSqr	-0.27 [-0.53, -0.01]*	0.04
MLLLPA_SexStratified_Model3.txt		
Visuospatial		Sig
[MLPAvsLLPA4=3.00]	-1.99 [-6.07, 2.09]	0.34
[MLPAvsLLPA4=2.00]	1.81 [-1.47, 5.08]	0.28
[MLPAvsLLPA4=1.00]	1.94 [-1.58, 5.46]	0.28
Time	-0.79 [-2.16, 0.58]	0.26
TimeSqr	-0.11 [-0.43, 0.21]	0.49
