MLLLPAxAPOE_SexStratified_Model3.txt		
Attention		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-4.87 [-15.07, 5.33]	0.35
[MLPAvsLLPA4=2.00] * APOE4Car	-2.67 [-11.67, 6.34]	0.56
[MLPAvsLLPA4=1.00] * APOE4Car	-9.93 [-19.66, -0.20]*	0.04
MLLLPAxAPOE_SexStratified_Model3.txt		
Delayed memory		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-1.78 [-10.23, 6.68]	0.68
[MLPAvsLLPA4=2.00] * APOE4Car	2.29 [-5.17, 9.74]	0.55
[MLPAvsLLPA4=1.00] * APOE4Car	-0.95 [-9.03, 7.13]	0.82
MLLLPAxAPOE_SexStratified_Model3.txt		
Executive function		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-3.03 [-15.18, 9.12]	0.62
[MLPAvsLLPA4=2.00] * APOE4Car	-5.85 [-16.64, 4.93]	0.29
[MLPAvsLLPA4=1.00] * APOE4Car	0.21 [-12.72, 13.14]	0.97
MLLLPAxAPOE_SexStratified_Model3.txt		
Global Cog		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-3.86 [-12.70, 4.97]	0.39
[MLPAvsLLPA4=2.00] * APOE4Car	-0.85 [-8.65, 6.95]	0.83
[MLPAvsLLPA4=1.00] * APOE4Car	-2.50 [-10.91, 5.92]	0.56
MLLLPAxAPOE_SexStratified_Model3.txt		
Immediate memory		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-4.24 [-13.77, 5.28]	0.38
[MLPAvsLLPA4=2.00] * APOE4Car	1.44 [-6.95, 9.84]	0.73
[MLPAvsLLPA4=1.00] * APOE4Car	-0.73 [-9.85, 8.39]	0.88
MLLLPAxAPOE_SexStratified_Model3.txt		
Language		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	3.63 [-3.97, 11.23]	0.35
[MLPAvsLLPA4=2.00] * APOE4Car	-2.44 [-9.13, 4.25]	0.47
[MLPAvsLLPA4=1.00] * APOE4Car	-0.46 [-7.76, 6.84]	0.90
MLLLPAxAPOE_SexStratified_Model3.txt		
Visuospatial		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-5.92 [-15.13, 3.30]	0.21
[MLPAvsLLPA4=2.00] * APOE4Car	-2.12 [-10.23, 5.99]	0.61
[MLPAvsLLPA4=1.00] * APOE4Car	4.30 [-4.54, 13.15]	0.34
