MLLLPAxTime_SexStratified_Model3.txt		
Attention		Sig
[MLPAvsLLPA4=3.00] * Time	-2.61 [-5.95, 0.73]	0.12
[MLPAvsLLPA4=2.00] * Time	0.09 [-2.61, 2.78]	0.95
[MLPAvsLLPA4=1.00] * Time	-0.23 [-3.10, 2.63]	0.87
[MLPAvsLLPA4=3.00] * TimeSqr	0.60 [-0.17, 1.37]	0.13
[MLPAvsLLPA4=2.00] * TimeSqr	-0.13 [-0.75, 0.48]	0.67
[MLPAvsLLPA4=1.00] * TimeSqr	0.11 [-0.56, 0.77]	0.75
MLLLPAxTime_SexStratified_Model3.txt		
Delayed memory		Sig
[MLPAvsLLPA4=3.00] * Time	1.48 [-1.64, 4.61]	0.35
[MLPAvsLLPA4=2.00] * Time	-0.69 [-3.22, 1.84]	0.59
[MLPAvsLLPA4=1.00] * Time	-2.41 [-5.10, 0.28]x	0.08
[MLPAvsLLPA4=3.00] * TimeSqr	-0.18 [-0.90, 0.55]	0.63
[MLPAvsLLPA4=2.00] * TimeSqr	0.18 [-0.40, 0.76]	0.54
[MLPAvsLLPA4=1.00] * TimeSqr	0.65 [0.03, 1.27]*	0.04
MLLLPAxTime_SexStratified_Model3.txt		
Executive function		Sig
[MLPAvsLLPA4=3.00] * Time	3.38 [-2.15, 8.92]	0.23
[MLPAvsLLPA4=2.00] * Time	3.02 [-1.61, 7.65]	0.20
[MLPAvsLLPA4=1.00] * Time	-0.15 [-5.12, 4.83]	0.95
[MLPAvsLLPA4=3.00] * TimeSqr	-0.64 [-2.08, 0.80]	0.38
[MLPAvsLLPA4=2.00] * TimeSqr	-0.62 [-1.83, 0.59]	0.32
[MLPAvsLLPA4=1.00] * TimeSqr	0.18 [-1.14, 1.49]	0.79
MLLLPAxTime_SexStratified_Model3.txt		
Global Cog		Sig
[MLPAvsLLPA4=3.00] * Time	0.68 [-2.06, 3.42]	0.63
[MLPAvsLLPA4=2.00] * Time	0.01 [-2.20, 2.23]	0.99
[MLPAvsLLPA4=1.00] * Time	-2.21 [-4.56, 0.15]x	0.07
[MLPAvsLLPA4=3.00] * TimeSqr	0.02 [-0.61, 0.65]	0.96
[MLPAvsLLPA4=2.00] * TimeSqr	0.10 [-0.40, 0.61]	0.69
[MLPAvsLLPA4=1.00] * TimeSqr	0.52 [-0.02, 1.06]x	0.06
MLLLPAxTime_SexStratified_Model3.txt		
Immediate memory		Sig
[MLPAvsLLPA4=3.00] * Time	-0.57 [-4.43, 3.29]	0.77
[MLPAvsLLPA4=2.00] * Time	-1.46 [-4.57, 1.66]	0.36
[MLPAvsLLPA4=1.00] * Time	-3.55 [-6.87, -0.23]*	0.04
[MLPAvsLLPA4=3.00] * TimeSqr	0.50 [-0.39, 1.40]	0.27
[MLPAvsLLPA4=2.00] * TimeSqr	0.73 [0.01, 1.44]*	0.05
[MLPAvsLLPA4=1.00] * TimeSqr	1.05 [0.28, 1.82]**	0.01
MLLLPAxTime_SexStratified_Model3.txt		
Language		Sig
[MLPAvsLLPA4=3.00] * Time	0.41 [-3.18, 4.01]	0.82
[MLPAvsLLPA4=2.00] * Time	-0.02 [-2.91, 2.88]	0.99
[MLPAvsLLPA4=1.00] * Time	-0.63 [-3.72, 2.46]	0.69
[MLPAvsLLPA4=3.00] * TimeSqr	-0.04 [-0.87, 0.80]	0.93
[MLPAvsLLPA4=2.00] * TimeSqr	0.04 [-0.62, 0.71]	0.91
[MLPAvsLLPA4=1.00] * TimeSqr	-0.01 [-0.73, 0.71]	0.97
MLLLPAxTime_SexStratified_Model3.txt		
Visuospatial		Sig
[MLPAvsLLPA4=3.00] * Time	2.60 [-1.73, 6.93]	0.24
[MLPAvsLLPA4=2.00] * Time	1.89 [-1.60, 5.38]	0.29
[MLPAvsLLPA4=1.00] * Time	-1.38 [-5.12, 2.35]	0.47
[MLPAvsLLPA4=3.00] * TimeSqr	-0.59 [-1.60, 0.42]	0.25
[MLPAvsLLPA4=2.00] * TimeSqr	-0.56 [-1.36, 0.24]	0.17
[MLPAvsLLPA4=1.00] * TimeSqr	0.13 [-0.74, 1.00]	0.77
