MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Attention		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-6.13 [-17.09, 4.83]	0.27
[MLPAvsLLPA4=2.00] * APOE4Car	-3.13 [-12.84, 6.58]	0.53
[MLPAvsLLPA4=1.00] * APOE4Car	-10.00 [-20.41, 0.42]x	0.06
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Delayed memory		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-1.25 [-10.52, 8.02]	0.79
[MLPAvsLLPA4=2.00] * APOE4Car	0.22 [-7.99, 8.43]	0.96
[MLPAvsLLPA4=1.00] * APOE4Car	-1.99 [-10.80, 6.83]	0.66
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Executive function		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-2.23 [-15.50, 11.04]	0.74
[MLPAvsLLPA4=2.00] * APOE4Car	-2.93 [-14.72, 8.86]	0.62
[MLPAvsLLPA4=1.00] * APOE4Car	2.38 [-12.01, 16.76]	0.74
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Global Cog		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-7.42 [-16.84, 1.99]	0.12
[MLPAvsLLPA4=2.00] * APOE4Car	-2.21 [-10.55, 6.13]	0.60
[MLPAvsLLPA4=1.00] * APOE4Car	-5.58 [-14.52, 3.37]	0.22
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Immediate memory		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-7.34 [-18.02, 3.35]	0.18
[MLPAvsLLPA4=2.00] * APOE4Car	0.96 [-8.50, 10.43]	0.84
[MLPAvsLLPA4=1.00] * APOE4Car	-2.05 [-12.22, 8.12]	0.69
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Language		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	0.94 [-7.96, 9.84]	0.84
[MLPAvsLLPA4=2.00] * APOE4Car	-4.09 [-11.97, 3.79]	0.31
[MLPAvsLLPA4=1.00] * APOE4Car	-2.96 [-11.44, 5.52]	0.49
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Visuospatial		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-11.72 [-22.45, -1.00]*	0.03
[MLPAvsLLPA4=2.00] * APOE4Car	-0.77 [-10.27, 8.72]	0.87
[MLPAvsLLPA4=1.00] * APOE4Car	-1.18 [-11.40, 9.04]	0.82
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Attention		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-6.13 [-17.09, 4.83]	0.27
[MLPAvsLLPA4=2.00] * APOE4Car	-3.13 [-12.84, 6.58]	0.53
[MLPAvsLLPA4=1.00] * APOE4Car	-10.00 [-20.41, 0.42]x	0.06
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Delayed memory		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-1.25 [-10.52, 8.02]	0.79
[MLPAvsLLPA4=2.00] * APOE4Car	0.22 [-7.99, 8.43]	0.96
[MLPAvsLLPA4=1.00] * APOE4Car	-1.99 [-10.80, 6.83]	0.66
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Executive function		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-2.23 [-15.50, 11.04]	0.74
[MLPAvsLLPA4=2.00] * APOE4Car	-2.93 [-14.72, 8.86]	0.62
[MLPAvsLLPA4=1.00] * APOE4Car	2.38 [-12.01, 16.76]	0.74
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Global Cog		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-7.42 [-16.84, 1.99]	0.12
[MLPAvsLLPA4=2.00] * APOE4Car	-2.21 [-10.55, 6.13]	0.60
[MLPAvsLLPA4=1.00] * APOE4Car	-5.58 [-14.52, 3.37]	0.22
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Immediate memory		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-7.34 [-18.02, 3.35]	0.18
[MLPAvsLLPA4=2.00] * APOE4Car	0.96 [-8.50, 10.43]	0.84
[MLPAvsLLPA4=1.00] * APOE4Car	-2.05 [-12.22, 8.12]	0.69
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Language		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	0.94 [-7.96, 9.84]	0.84
[MLPAvsLLPA4=2.00] * APOE4Car	-4.09 [-11.97, 3.79]	0.31
[MLPAvsLLPA4=1.00] * APOE4Car	-2.96 [-11.44, 5.52]	0.49
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Visuospatial		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-11.72 [-22.45, -1.00]*	0.03
[MLPAvsLLPA4=2.00] * APOE4Car	-0.77 [-10.27, 8.72]	0.87
[MLPAvsLLPA4=1.00] * APOE4Car	-1.18 [-11.40, 9.04]	0.82
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Attention		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-6.13 [-17.09, 4.83]	0.27
[MLPAvsLLPA4=2.00] * APOE4Car	-3.13 [-12.84, 6.58]	0.53
[MLPAvsLLPA4=1.00] * APOE4Car	-10.00 [-20.41, 0.42]x	0.06
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Delayed memory		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-1.25 [-10.52, 8.02]	0.79
[MLPAvsLLPA4=2.00] * APOE4Car	0.22 [-7.99, 8.43]	0.96
[MLPAvsLLPA4=1.00] * APOE4Car	-1.99 [-10.80, 6.83]	0.66
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Executive function		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-2.23 [-15.50, 11.04]	0.74
[MLPAvsLLPA4=2.00] * APOE4Car	-2.93 [-14.72, 8.86]	0.62
[MLPAvsLLPA4=1.00] * APOE4Car	2.38 [-12.01, 16.76]	0.74
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Global Cog		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-7.42 [-16.84, 1.99]	0.12
[MLPAvsLLPA4=2.00] * APOE4Car	-2.21 [-10.55, 6.13]	0.60
[MLPAvsLLPA4=1.00] * APOE4Car	-5.58 [-14.52, 3.37]	0.22
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Immediate memory		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	-7.34 [-18.02, 3.35]	0.18
[MLPAvsLLPA4=2.00] * APOE4Car	0.96 [-8.50, 10.43]	0.84
[MLPAvsLLPA4=1.00] * APOE4Car	-2.05 [-12.22, 8.12]	0.69
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Language		Sig
[MLPAvsLLPA4=3.00] * APOE4Car	0.94 [-7.96, 9.84]	0.84
[MLPAvsLLPA4=2.00] * APOE4Car	-4.09 [-11.97, 3.79]	0.31
[MLPAvsLLPA4=1.00] * APOE4Car	-2.96 [-11.44, 5.52]	0.49
MLLLPAxTimexAPOE_SexStratified_Model3.txt		
Visuospatial		Sig
