MLPAMainEffectsModel3		
Attention		Sig
[MLPAPos4=.00] * Time	0.79 [-0.69, 2.26]	0.30
[MLPAPos4=.00] * TimeSqr	-0.15 [-0.49, 0.19]	0.39
MLPAMainEffectsModel3		
Delayed memory		Sig
[MLPAPos4=.00] * Time	-0.98 [-2.26, 0.31]	0.14
[MLPAPos4=.00] * TimeSqr	0.21 [-0.08, 0.51]	0.16
MLPAMainEffectsModel3		
Executive function		Sig
[MLPAPos4=.00] * Time	0.40 [-2.04, 2.85]	0.75
[MLPAPos4=.00] * TimeSqr	-0.08 [-0.73, 0.56]	0.80
MLPAMainEffectsModel3		
Global Cog		Sig
[MLPAPos4=.00] * Time	-0.68 [-1.93, 0.57]	0.29
[MLPAPos4=.00] * TimeSqr	0.20 [-0.09, 0.49]	0.17
MLPAMainEffectsModel3		
Immediate memory		Sig
[MLPAPos4=.00] * Time	-2.90 [-4.51, -1.28]***	0.00
[MLPAPos4=.00] * TimeSqr	0.75 [0.38, 1.12]***	0.00
MLPAMainEffectsModel3		
Language		Sig
[MLPAPos4=.00] * Time	0.70 [-0.96, 2.36]	0.41
[MLPAPos4=.00] * TimeSqr	-0.11 [-0.50, 0.27]	0.56
MLPAMainEffectsModel3		
Visuospatial		Sig
[MLPAPos4=.00] * Time	-0.24 [-2.21, 1.73]	0.81
[MLPAPos4=.00] * TimeSqr	-0.01 [-0.46, 0.45]	0.98
