MLPA_MainEffects_Carrier_Model3		
Attention		Sig
[MLPAPos4=.00]	3.17 [0.68, 5.67]*	0.01
Time	1.75 [0.91, 2.59]***	0.00
TimeSqr	-0.17 [-0.36, 0.02]	0.09
MLPA_MainEffects_Carrier_Model3		
Delayed memory		Sig
[MLPAPos4=.00]	2.10 [0.41, 3.79]*	0.01
Time	3.05 [2.33, 3.77]***	0.00
TimeSqr	-0.47 [-0.63, -0.30]***	0.00
MLPA_MainEffects_Carrier_Model3		
Executive function		Sig
[MLPAPos4=.00]	4.58 [1.75, 7.42]**	0.00
Time	0.73 [-0.70, 2.16]	0.31
TimeSqr	-0.09 [-0.47, 0.29]	0.63
MLPA_MainEffects_Carrier_Model3		
Global Cog		Sig
[MLPAPos4=.00]	3.54 [1.51, 5.56]**	0.00
Time	2.33 [1.62, 3.04]***	0.00
TimeSqr	-0.35 [-0.52, -0.19]***	0.00
MLPA_MainEffects_Carrier_Model3		
Immediate memory		Sig
[MLPAPos4=.00]	2.32 [0.25, 4.39]*	0.03
Time	3.82 [2.90, 4.74]***	0.00
TimeSqr	-0.53 [-0.74, -0.32]***	0.00
MLPA_MainEffects_Carrier_Model3		
Language		Sig
[MLPAPos4=.00]	1.95 [0.14, 3.76]*	0.04
Time	0.61 [-0.35, 1.58]	0.21
TimeSqr	-0.06 [-0.28, 0.16]	0.58
MLPA_MainEffects_Carrier_Model3		
Visuospatial		Sig
[MLPAPos4=.00]	2.53 [0.40, 4.66]*	0.02
Time	-0.15 [-1.26, 0.96]	0.79
TimeSqr	-0.17 [-0.42, 0.09]	0.19
MLPA_MainEffects_Carrier_Model3		
Attention		Sig
[MLPAPos4=.00]	3.17 [0.68, 5.67]*	0.01
Time	1.75 [0.91, 2.59]***	0.00
TimeSqr	-0.17 [-0.36, 0.02]	0.09
MLPA_MainEffects_Carrier_Model3		
Delayed memory		Sig
[MLPAPos4=.00]	2.10 [0.41, 3.79]*	0.01
Time	3.05 [2.33, 3.77]***	0.00
TimeSqr	-0.47 [-0.63, -0.30]***	0.00
MLPA_MainEffects_Carrier_Model3		
Executive function		Sig
[MLPAPos4=.00]	4.58 [1.75, 7.42]**	0.00
Time	0.73 [-0.70, 2.16]	0.31
TimeSqr	-0.09 [-0.47, 0.29]	0.63
MLPA_MainEffects_Carrier_Model3		
Global Cog		Sig
[MLPAPos4=.00]	3.54 [1.51, 5.56]**	0.00
Time	2.33 [1.62, 3.04]***	0.00
TimeSqr	-0.35 [-0.52, -0.19]***	0.00
MLPA_MainEffects_Carrier_Model3		
Immediate memory		Sig
[MLPAPos4=.00]	2.32 [0.25, 4.39]*	0.03
Time	3.82 [2.90, 4.74]***	0.00
TimeSqr	-0.53 [-0.74, -0.32]***	0.00
MLPA_MainEffects_Carrier_Model3		
Language		Sig
[MLPAPos4=.00]	1.95 [0.14, 3.76]*	0.04
Time	0.61 [-0.35, 1.58]	0.21
TimeSqr	-0.06 [-0.28, 0.16]	0.58
MLPA_MainEffects_Carrier_Model3		
Visuospatial		Sig
[MLPAPos4=.00]	2.53 [0.40, 4.66]*	0.02
Time	-0.15 [-1.26, 0.96]	0.79
TimeSqr	-0.17 [-0.42, 0.09]	0.19
