MLPAxAPOEInteraction_Model2		
Attention		Sig
[MLPAPos4=.00] * APOE4Car	-1.15 [-5.91, 3.61]	0.64
Time	2.04 [1.36, 2.72]***	0.00
TimeSqr	-0.21 [-0.36, -0.05]**	0.01
MLPAxAPOEInteraction_Model2		
Delayed memory		Sig
[MLPAPos4=.00] * APOE4Car	0.36 [-3.07, 3.78]	0.84
Time	3.29 [2.69, 3.88]***	0.00
TimeSqr	-0.53 [-0.67, -0.40]***	0.00
MLPAxAPOEInteraction_Model2		
Executive function		Sig
[MLPAPos4=.00] * APOE4Car	-4.27 [-9.72, 1.19]	0.12
Time	0.40 [-0.75, 1.55]	0.49
TimeSqr	0.05 [-0.25, 0.35]	0.75
MLPAxAPOEInteraction_Model2		
Global Cog		Sig
[MLPAPos4=.00] * APOE4Car	-0.72 [-4.65, 3.20]	0.72
Time	2.41 [1.83, 2.99]***	0.00
TimeSqr	-0.37 [-0.50, -0.24]***	0.00
MLPAxAPOEInteraction_Model2		
Immediate memory		Sig
[MLPAPos4=.00] * APOE4Car	-0.34 [-4.28, 3.60]	0.86
Time	3.81 [3.06, 4.56]***	0.00
TimeSqr	-0.57 [-0.74, -0.40]***	0.00
MLPAxAPOEInteraction_Model2		
Language		Sig
[MLPAPos4=.00] * APOE4Car	-0.50 [-3.98, 2.98]	0.78
Time	0.41 [-0.36, 1.18]	0.30
TimeSqr	-0.02 [-0.20, 0.16]	0.83
MLPAxAPOEInteraction_Model2		
Visuospatial		Sig
[MLPAPos4=.00] * APOE4Car	0.14 [-4.03, 4.30]	0.95
Time	0.03 [-0.88, 0.93]	0.95
TimeSqr	-0.17 [-0.38, 0.03]	0.10
