MLPA_ME_AgeStratified_Model3		
Attention		Sig
[MLPAPos4=.00]	1.26 [-1.35, 3.87]	0.34
Time	2.70 [1.81, 3.59]***	0.00
TimeSqr	-0.27 [-0.48, -0.07]**	0.01
MLPA_ME_AgeStratified_Model3		
Delayed memory		Sig
[MLPAPos4=.00]	2.14 [0.40, 3.87]*	0.02
Time	3.35 [2.60, 4.10]***	0.00
TimeSqr	-0.50 [-0.67, -0.33]***	0.00
MLPA_ME_AgeStratified_Model3		
Executive function		Sig
[MLPAPos4=.00]	3.12 [0.21, 6.03]*	0.04
Time	0.76 [-0.62, 2.15]	0.28
TimeSqr	0.03 [-0.33, 0.40]	0.86
MLPA_ME_AgeStratified_Model3		
Global Cog		Sig
[MLPAPos4=.00]	2.54 [0.48, 4.61]*	0.02
Time	2.75 [1.99, 3.51]***	0.00
TimeSqr	-0.38 [-0.55, -0.20]***	0.00
MLPA_ME_AgeStratified_Model3		
Immediate memory		Sig
[MLPAPos4=.00]	1.49 [-0.62, 3.59]	0.17
Time	4.24 [3.26, 5.21]***	0.00
TimeSqr	-0.55 [-0.77, -0.32]***	0.00
MLPA_ME_AgeStratified_Model3		
Language		Sig
[MLPAPos4=.00]	2.28 [0.34, 4.23]*	0.02
Time	0.38 [-0.62, 1.38]	0.46
TimeSqr	0.01 [-0.22, 0.24]	0.91
MLPA_ME_AgeStratified_Model3		
Visuospatial		Sig
[MLPAPos4=.00]	1.95 [-0.35, 4.24]	0.10
Time	0.14 [-1.05, 1.33]	0.82
TimeSqr	-0.24 [-0.51, 0.04]	0.09
MLPA_ME_AgeStratified_Model3		
Attention		Sig
[MLPAPos4=.00]	1.26 [-1.35, 3.87]	0.34
Time	2.70 [1.81, 3.59]***	0.00
TimeSqr	-0.27 [-0.48, -0.07]**	0.01
MLPA_ME_AgeStratified_Model3		
Delayed memory		Sig
[MLPAPos4=.00]	2.14 [0.40, 3.87]*	0.02
Time	3.35 [2.60, 4.10]***	0.00
TimeSqr	-0.50 [-0.67, -0.33]***	0.00
MLPA_ME_AgeStratified_Model3		
Executive function		Sig
[MLPAPos4=.00]	3.12 [0.21, 6.03]*	0.04
Time	0.76 [-0.62, 2.15]	0.28
TimeSqr	0.03 [-0.33, 0.40]	0.86
MLPA_ME_AgeStratified_Model3		
Global Cog		Sig
[MLPAPos4=.00]	2.54 [0.48, 4.61]*	0.02
Time	2.75 [1.99, 3.51]***	0.00
TimeSqr	-0.38 [-0.55, -0.20]***	0.00
MLPA_ME_AgeStratified_Model3		
Immediate memory		Sig
[MLPAPos4=.00]	1.49 [-0.62, 3.59]	0.17
Time	4.24 [3.26, 5.21]***	0.00
TimeSqr	-0.55 [-0.77, -0.32]***	0.00
MLPA_ME_AgeStratified_Model3		
Language		Sig
[MLPAPos4=.00]	2.28 [0.34, 4.23]*	0.02
Time	0.38 [-0.62, 1.38]	0.46
TimeSqr	0.01 [-0.22, 0.24]	0.91
MLPA_ME_AgeStratified_Model3		
Visuospatial		Sig
[MLPAPos4=.00]	1.95 [-0.35, 4.24]	0.10
Time	0.14 [-1.05, 1.33]	0.82
TimeSqr	-0.24 [-0.51, 0.04]	0.09
MLPA_ME_AgeStratified_Model3		
Attention		Sig
[MLPAPos4=.00]	1.26 [-1.35, 3.87]	0.34
Time	2.70 [1.81, 3.59]***	0.00
TimeSqr	-0.27 [-0.48, -0.07]**	0.01
MLPA_ME_AgeStratified_Model3		
Delayed memory		Sig
[MLPAPos4=.00]	2.14 [0.40, 3.87]*	0.02
Time	3.35 [2.60, 4.10]***	0.00
TimeSqr	-0.50 [-0.67, -0.33]***	0.00
MLPA_ME_AgeStratified_Model3		
Executive function		Sig
[MLPAPos4=.00]	3.12 [0.21, 6.03]*	0.04
Time	0.76 [-0.62, 2.15]	0.28
TimeSqr	0.03 [-0.33, 0.40]	0.86
MLPA_ME_AgeStratified_Model3		
Global Cog		Sig
[MLPAPos4=.00]	2.54 [0.48, 4.61]*	0.02
Time	2.75 [1.99, 3.51]***	0.00
TimeSqr	-0.38 [-0.55, -0.20]***	0.00
MLPA_ME_AgeStratified_Model3		
Immediate memory		Sig
[MLPAPos4=.00]	1.49 [-0.62, 3.59]	0.17
Time	4.24 [3.26, 5.21]***	0.00
TimeSqr	-0.55 [-0.77, -0.32]***	0.00
MLPA_ME_AgeStratified_Model3		
Language		Sig
[MLPAPos4=.00]	2.28 [0.34, 4.23]*	0.02
Time	0.38 [-0.62, 1.38]	0.46
TimeSqr	0.01 [-0.22, 0.24]	0.91
MLPA_ME_AgeStratified_Model3		
Visuospatial		Sig
[MLPAPos4=.00]	1.95 [-0.35, 4.24]	0.10
Time	0.14 [-1.05, 1.33]	0.82
TimeSqr	-0.24 [-0.51, 0.04]	0.09
