MLPAxTime_AgeStratified_Model3		
Attention		Sig
[MLPAPos4=.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAPos4=.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
MLPAxTime_AgeStratified_Model3		
Delayed memory		Sig
[MLPAPos4=.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAPos4=.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
MLPAxTime_AgeStratified_Model3		
Executive function		Sig
[MLPAPos4=.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAPos4=.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
MLPAxTime_AgeStratified_Model3		
Global Cog		Sig
[MLPAPos4=.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAPos4=.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
MLPAxTime_AgeStratified_Model3		
Immediate memory		Sig
[MLPAPos4=.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAPos4=.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
MLPAxTime_AgeStratified_Model3		
Language		Sig
[MLPAPos4=.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAPos4=.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
MLPAxTime_AgeStratified_Model3		
Visuospatial		Sig
[MLPAPos4=.00] * Time	0.00 [0.00, 0.00]***	0.00
[MLPAPos4=.00] * TimeSqr	0.00 [0.00, 0.00]***	0.00
