MLPAxTime_AgeStratified_Model3		
Attention		Sig
[MLPAPos4=.00] * Time	1.24 [-1.19, 3.66]	0.32
[MLPAPos4=.00] * TimeSqr	-0.29 [-0.84, 0.27]	0.31
MLPAxTime_AgeStratified_Model3		
Delayed memory		Sig
[MLPAPos4=.00] * Time	0.04 [-2.23, 2.32]	0.97
[MLPAPos4=.00] * TimeSqr	-0.03 [-0.56, 0.49]	0.90
MLPAxTime_AgeStratified_Model3		
Executive function		Sig
[MLPAPos4=.00] * Time	0.83 [-3.79, 5.45]	0.72
[MLPAPos4=.00] * TimeSqr	-0.48 [-1.73, 0.77]	0.45
MLPAxTime_AgeStratified_Model3		
Global Cog		Sig
[MLPAPos4=.00] * Time	-0.35 [-2.38, 1.68]	0.73
[MLPAPos4=.00] * TimeSqr	-0.04 [-0.50, 0.43]	0.88
MLPAxTime_AgeStratified_Model3		
Immediate memory		Sig
[MLPAPos4=.00] * Time	-3.07 [-5.73, -0.41]*	0.02
[MLPAPos4=.00] * TimeSqr	0.67 [0.06, 1.28]*	0.03
MLPAxTime_AgeStratified_Model3		
Language		Sig
[MLPAPos4=.00] * Time	0.94 [-1.86, 3.74]	0.51
[MLPAPos4=.00] * TimeSqr	-0.42 [-1.07, 0.23]	0.20
MLPAxTime_AgeStratified_Model3		
Visuospatial		Sig
[MLPAPos4=.00] * Time	-1.37 [-4.64, 1.90]	0.41
[MLPAPos4=.00] * TimeSqr	0.13 [-0.62, 0.88]	0.73
