MLPAxtime APOE stratified_Model1		
Attention		Sig
[MLPAPos4=.00] * Time	1.14 [-1.78, 4.05]	0.44
[MLPAPos4=.00] * TimeSqr	-0.11 [-0.79, 0.56]	0.75
MLPAxtime APOE stratified_Model1		
Delayed memory		Sig
[MLPAPos4=.00] * Time	-0.81 [-3.34, 1.72]	0.53
[MLPAPos4=.00] * TimeSqr	0.15 [-0.44, 0.74]	0.62
MLPAxtime APOE stratified_Model1		
Executive function		Sig
[MLPAPos4=.00] * Time	-1.65 [-6.08, 2.78]	0.46
[MLPAPos4=.00] * TimeSqr	0.54 [-0.62, 1.69]	0.36
MLPAxtime APOE stratified_Model1		
Global Cog		Sig
[MLPAPos4=.00] * Time	-1.35 [-3.78, 1.07]	0.27
[MLPAPos4=.00] * TimeSqr	0.43 [-0.14, 0.99]	0.14
MLPAxtime APOE stratified_Model1		
Immediate memory		Sig
[MLPAPos4=.00] * Time	-4.88 [-8.09, -1.67]**	0.00
[MLPAPos4=.00] * TimeSqr	1.24 [0.49, 1.99]**	0.00
MLPAxtime APOE stratified_Model1		
Language		Sig
[MLPAPos4=.00] * Time	-1.19 [-4.31, 1.93]	0.45
[MLPAPos4=.00] * TimeSqr	0.35 [-0.38, 1.08]	0.34
MLPAxtime APOE stratified_Model1		
Visuospatial		Sig
[MLPAPos4=.00] * Time	-0.03 [-4.01, 3.94]	0.99
[MLPAPos4=.00] * TimeSqr	-0.05 [-0.98, 0.88]	0.92
