MLPA_SexStratified_Model3		
Attention		Sig
[MLPAPos4=.00]	2.36 [-0.61, 5.33]	0.12
Time	1.78 [0.81, 2.75]***	0.00
TimeSqr	-0.12 [-0.34, 0.10]	0.28
MLPA_SexStratified_Model3		
Delayed memory		Sig
[MLPAPos4=.00]	1.52 [-0.37, 3.42]	0.12
Time	3.14 [2.35, 3.93]***	0.00
TimeSqr	-0.44 [-0.62, -0.26]***	0.00
MLPA_SexStratified_Model3		
Executive function		Sig
[MLPAPos4=.00]	3.56 [0.26, 6.85]*	0.04
Time	-0.02 [-1.59, 1.56]	0.98
TimeSqr	0.06 [-0.36, 0.47]	0.79
MLPA_SexStratified_Model3		
Global Cog		Sig
[MLPAPos4=.00]	2.25 [-0.11, 4.62]x	0.06
Time	2.19 [1.36, 3.02]***	0.00
TimeSqr	-0.26 [-0.45, -0.07]**	0.01
MLPA_SexStratified_Model3		
Immediate memory		Sig
[MLPAPos4=.00]	1.49 [-0.77, 3.75]	0.20
Time	4.14 [3.14, 5.15]***	0.00
TimeSqr	-0.57 [-0.80, -0.34]***	0.00
MLPA_SexStratified_Model3		
Language		Sig
[MLPAPos4=.00]	1.37 [-0.83, 3.57]	0.22
Time	-0.88 [-2.00, 0.24]	0.12
TimeSqr	0.18 [-0.07, 0.44]	0.16
MLPA_SexStratified_Model3		
Visuospatial		Sig
[MLPAPos4=.00]	1.29 [-1.34, 3.91]	0.34
Time	0.27 [-1.05, 1.58]	0.69
TimeSqr	-0.16 [-0.46, 0.14]	0.30
