MLPAxTime_SexStratified_Model3		
Attention		Sig
[MLPAPos4=.00] * Time	0.73 [-1.33, 2.79]	0.49
[MLPAPos4=.00] * TimeSqr	-0.06 [-0.53, 0.42]	0.82
MLPAxTime_SexStratified_Model3		
Delayed memory		Sig
[MLPAPos4=.00] * Time	-0.63 [-2.31, 1.05]	0.46
[MLPAPos4=.00] * TimeSqr	0.13 [-0.26, 0.52]	0.51
MLPAxTime_SexStratified_Model3		
Executive function		Sig
[MLPAPos4=.00] * Time	1.12 [-2.19, 4.43]	0.51
[MLPAPos4=.00] * TimeSqr	-0.37 [-1.25, 0.51]	0.41
MLPAxTime_SexStratified_Model3		
Global Cog		Sig
[MLPAPos4=.00] * Time	-0.62 [-2.39, 1.15]	0.49
[MLPAPos4=.00] * TimeSqr	0.24 [-0.17, 0.65]	0.24
MLPAxTime_SexStratified_Model3		
Immediate memory		Sig
[MLPAPos4=.00] * Time	-3.31 [-5.44, -1.19]**	0.00
[MLPAPos4=.00] * TimeSqr	0.76 [0.26, 1.25]**	0.00
MLPAxTime_SexStratified_Model3		
Language		Sig
[MLPAPos4=.00] * Time	0.85 [-1.53, 3.23]	0.48
[MLPAPos4=.00] * TimeSqr	-0.10 [-0.66, 0.45]	0.71
MLPAxTime_SexStratified_Model3		
Visuospatial		Sig
[MLPAPos4=.00] * Time	-0.36 [-3.15, 2.44]	0.80
[MLPAPos4=.00] * TimeSqr	0.17 [-0.49, 0.82]	0.62
