MLPAxTimexAPOE_SexStratified_Model3		
Attention		Sig
[MLPAPos4=.00] * Time * APOE4Car	1.68 [-3.28, 6.64]	0.51
[MLPAPos4=.00] * TimeSqr * APOE4Car	-0.14 [-1.35, 1.07]	0.82
MLPAxTimexAPOE_SexStratified_Model3		
Delayed memory		Sig
[MLPAPos4=.00] * Time * APOE4Car	-1.72 [-5.75, 2.31]	0.40
[MLPAPos4=.00] * TimeSqr * APOE4Car	0.36 [-0.63, 1.34]	0.48
MLPAxTimexAPOE_SexStratified_Model3		
Executive function		Sig
[MLPAPos4=.00] * Time * APOE4Car	-0.13 [-7.76, 7.51]	0.97
[MLPAPos4=.00] * TimeSqr * APOE4Car	0.21 [-1.86, 2.28]	0.84
MLPAxTimexAPOE_SexStratified_Model3		
Global Cog		Sig
[MLPAPos4=.00] * Time * APOE4Car	-2.53 [-6.78, 1.72]	0.24
[MLPAPos4=.00] * TimeSqr * APOE4Car	0.83 [-0.20, 1.86]	0.12
MLPAxTimexAPOE_SexStratified_Model3		
Immediate memory		Sig
[MLPAPos4=.00] * Time * APOE4Car	-3.67 [-8.76, 1.43]	0.16
[MLPAPos4=.00] * TimeSqr * APOE4Car	1.48 [0.24, 2.73]*	0.02
MLPAxTimexAPOE_SexStratified_Model3		
Language		Sig
[MLPAPos4=.00] * Time * APOE4Car	-3.96 [-9.73, 1.81]	0.18
[MLPAPos4=.00] * TimeSqr * APOE4Car	1.08 [-0.33, 2.49]	0.13
MLPAxTimexAPOE_SexStratified_Model3		
Visuospatial		Sig
[MLPAPos4=.00] * Time * APOE4Car	-1.99 [-8.74, 4.77]	0.56
[MLPAPos4=.00] * TimeSqr * APOE4Car	0.40 [-1.25, 2.06]	0.63
