MLPA_SexStratified_Model3		
Attention		Sig
[MLPAPos4=.00]	3.29 [0.39, 6.20]*	0.03
Time	2.39 [1.33, 3.44]***	0.00
TimeSqr	-0.33 [-0.57, -0.09]**	0.01
MLPA_SexStratified_Model3		
Delayed memory		Sig
[MLPAPos4=.00]	2.10 [-0.28, 4.48]	0.08
Time	3.48 [2.49, 4.47]***	0.00
TimeSqr	-0.64 [-0.87, -0.41]***	0.00
MLPA_SexStratified_Model3		
Executive function		Sig
[MLPAPos4=.00]	2.79 [-0.77, 6.36]	0.12
Time	0.28 [-1.55, 2.11]	0.77
TimeSqr	0.18 [-0.30, 0.65]	0.47
MLPA_SexStratified_Model3		
Global Cog		Sig
[MLPAPos4=.00]	3.78 [1.34, 6.23]**	0.00
Time	2.45 [1.59, 3.32]***	0.00
TimeSqr	-0.45 [-0.65, -0.26]***	0.00
MLPA_SexStratified_Model3		
Immediate memory		Sig
[MLPAPos4=.00]	2.51 [-0.24, 5.26]x	0.07
Time	3.61 [2.38, 4.84]***	0.00
TimeSqr	-0.58 [-0.86, -0.29]***	0.00
MLPA_SexStratified_Model3		
Language		Sig
[MLPAPos4=.00]	2.75 [0.59, 4.90]*	0.01
Time	1.92 [0.79, 3.05]**	0.00
TimeSqr	-0.28 [-0.54, -0.02]*	0.04
MLPA_SexStratified_Model3		
Visuospatial		Sig
[MLPAPos4=.00]	2.61 [0.03, 5.20]*	0.05
Time	-0.82 [-2.18, 0.55]	0.24
TimeSqr	-0.11 [-0.42, 0.21]	0.51
