MLPAxTime_SexStratified_Model3		
Attention		Sig
[MLPAPos4=.00] * Time	0.68 [-1.44, 2.81]	0.53
[MLPAPos4=.00] * TimeSqr	-0.19 [-0.68, 0.30]	0.44
MLPAxTime_SexStratified_Model3		
Delayed memory		Sig
[MLPAPos4=.00] * Time	-1.53 [-3.53, 0.46]	0.13
[MLPAPos4=.00] * TimeSqr	0.38 [-0.08, 0.84]	0.10
MLPAxTime_SexStratified_Model3		
Executive function		Sig
[MLPAPos4=.00] * Time	-0.33 [-4.00, 3.33]	0.86
[MLPAPos4=.00] * TimeSqr	0.17 [-0.79, 1.13]	0.73
MLPAxTime_SexStratified_Model3		
Global Cog		Sig
[MLPAPos4=.00] * Time	-0.89 [-2.64, 0.86]	0.32
[MLPAPos4=.00] * TimeSqr	0.24 [-0.16, 0.64]	0.25
MLPAxTime_SexStratified_Model3		
Immediate memory		Sig
[MLPAPos4=.00] * Time	-2.41 [-4.88, 0.05]x	0.06
[MLPAPos4=.00] * TimeSqr	0.79 [0.22, 1.36]**	0.01
MLPAxTime_SexStratified_Model3		
Language		Sig
[MLPAPos4=.00] * Time	0.02 [-2.27, 2.30]	0.99
[MLPAPos4=.00] * TimeSqr	-0.05 [-0.58, 0.48]	0.86
MLPAxTime_SexStratified_Model3		
Visuospatial		Sig
[MLPAPos4=.00] * Time	0.07 [-2.69, 2.83]	0.96
[MLPAPos4=.00] * TimeSqr	-0.18 [-0.82, 0.45]	0.57
