MLPAxTimexAPOE_SexStratified_Model3		
Attention		Sig
[MLPAPos4=.00] * Time * APOE4Car	-0.35 [-5.57, 4.87]	0.90
[MLPAPos4=.00] * TimeSqr * APOE4Car	0.10 [-1.10, 1.29]	0.88
MLPAxTimexAPOE_SexStratified_Model3		
Delayed memory		Sig
[MLPAPos4=.00] * Time * APOE4Car	3.35 [-1.54, 8.25]	0.18
[MLPAPos4=.00] * TimeSqr * APOE4Car	-0.75 [-1.87, 0.37]	0.19
MLPAxTimexAPOE_SexStratified_Model3		
Executive function		Sig
[MLPAPos4=.00] * Time * APOE4Car	-7.41 [-16.12, 1.29]	0.10
[MLPAPos4=.00] * TimeSqr * APOE4Car	2.04 [-0.19, 4.27]x	0.07
MLPAxTimexAPOE_SexStratified_Model3		
Global Cog		Sig
[MLPAPos4=.00] * Time * APOE4Car	2.29 [-2.01, 6.59]	0.30
[MLPAPos4=.00] * TimeSqr * APOE4Car	-0.49 [-1.47, 0.49]	0.33
MLPAxTimexAPOE_SexStratified_Model3		
Immediate memory		Sig
[MLPAPos4=.00] * Time * APOE4Car	1.34 [-4.75, 7.42]	0.67
[MLPAPos4=.00] * TimeSqr * APOE4Car	-0.49 [-1.89, 0.90]	0.49
MLPAxTimexAPOE_SexStratified_Model3		
Language		Sig
[MLPAPos4=.00] * Time * APOE4Car	1.62 [-4.03, 7.27]	0.57
[MLPAPos4=.00] * TimeSqr * APOE4Car	-0.29 [-1.59, 1.02]	0.67
MLPAxTimexAPOE_SexStratified_Model3		
Visuospatial		Sig
[MLPAPos4=.00] * Time * APOE4Car	1.76 [-5.02, 8.54]	0.61
[MLPAPos4=.00] * TimeSqr * APOE4Car	-0.46 [-2.02, 1.10]	0.56
