MLPA_APOEStrat_ME_Model2		
Attention		Sig
[MLPAPos4=.00]	0.90 [-3.40, 5.20]	0.68
Time	2.26 [0.91, 3.61]**	0.00
TimeSqr	-0.24 [-0.54, 0.06]	0.11
MLPA_APOEStrat_ME_Model2		
Delayed memory		Sig
[MLPAPos4=.00]	1.45 [-2.16, 5.07]	0.43
Time	3.30 [2.10, 4.50]***	0.00
TimeSqr	-0.55 [-0.81, -0.28]***	0.00
MLPA_APOEStrat_ME_Model2		
Executive function		Sig
[MLPAPos4=.00]	-0.09 [-4.95, 4.78]	0.97
Time	-0.69 [-2.89, 1.50]	0.53
TimeSqr	0.34 [-0.22, 0.91]	0.23
MLPA_APOEStrat_ME_Model2		
Global Cog		Sig
[MLPAPos4=.00]	1.52 [-2.02, 5.06]	0.40
Time	2.06 [0.92, 3.19]***	0.00
TimeSqr	-0.31 [-0.56, -0.05]*	0.02
MLPA_APOEStrat_ME_Model2		
Immediate memory		Sig
[MLPAPos4=.00]	0.38 [-3.12, 3.87]	0.83
Time	3.93 [2.44, 5.42]***	0.00
TimeSqr	-0.65 [-0.98, -0.32]***	0.00
MLPA_APOEStrat_ME_Model2		
Language		Sig
[MLPAPos4=.00]	0.99 [-2.25, 4.23]	0.55
Time	-0.28 [-1.74, 1.18]	0.71
TimeSqr	0.09 [-0.23, 0.42]	0.57
MLPA_APOEStrat_ME_Model2		
Visuospatial		Sig
[MLPAPos4=.00]	2.11 [-1.83, 6.05]	0.29
Time	0.05 [-1.82, 1.92]	0.96
TimeSqr	-0.14 [-0.56, 0.27]	0.50
