MLPAxtime APOE stratified_Model1		
Attention		Sig
[MLPAPos4=.00] * Time	0.56 [-1.05, 2.18]	0.49
[MLPAPos4=.00] * TimeSqr	-0.10 [-0.47, 0.27]	0.60
MLPAxtime APOE stratified_Model1		
Delayed memory		Sig
[MLPAPos4=.00] * Time	-1.29 [-2.66, 0.08]x	0.07
[MLPAPos4=.00] * TimeSqr	0.30 [-0.02, 0.62]x	0.06
MLPAxtime APOE stratified_Model1		
Executive function		Sig
[MLPAPos4=.00] * Time	0.87 [-1.89, 3.63]	0.54
[MLPAPos4=.00] * TimeSqr	-0.34 [-1.07, 0.39]	0.36
MLPAxtime APOE stratified_Model1		
Global Cog		Sig
[MLPAPos4=.00] * Time	-0.89 [-2.26, 0.49]	0.20
[MLPAPos4=.00] * TimeSqr	0.23 [-0.09, 0.54]	0.15
MLPAxtime APOE stratified_Model1		
Immediate memory		Sig
[MLPAPos4=.00] * Time	-2.43 [-4.18, -0.68]**	0.01
[MLPAPos4=.00] * TimeSqr	0.60 [0.20, 1.01]**	0.00
MLPAxtime APOE stratified_Model1		
Language		Sig
[MLPAPos4=.00] * Time	0.32 [-1.52, 2.16]	0.73
[MLPAPos4=.00] * TimeSqr	-0.07 [-0.49, 0.35]	0.75
MLPAxtime APOE stratified_Model1		
Visuospatial		Sig
[MLPAPos4=.00] * Time	-0.76 [-2.86, 1.33]	0.47
[MLPAPos4=.00] * TimeSqr	0.09 [-0.40, 0.57]	0.73
