MLLLPAxTime_APOEStratified_Model3.txt		
Attention		Sig
[MLPAvsLLPA4=3.00] * Time	-0.94 [-3.67, 1.80]	0.50
[MLPAvsLLPA4=2.00] * Time	0.64 [-1.51, 2.80]	0.56
[MLPAvsLLPA4=1.00] * Time	-0.25 [-2.59, 2.08]	0.83
[MLPAvsLLPA4=3.00] * TimeSqr	0.32 [-0.31, 0.95]	0.32
[MLPAvsLLPA4=2.00] * TimeSqr	-0.15 [-0.64, 0.34]	0.55
[MLPAvsLLPA4=1.00] * TimeSqr	0.10 [-0.44, 0.63]	0.72
MLLLPAxTime_APOEStratified_Model3.txt		
Delayed memory		Sig
[MLPAvsLLPA4=3.00] * Time	1.28 [-1.08, 3.63]	0.29
[MLPAvsLLPA4=2.00] * Time	-0.71 [-2.56, 1.13]	0.45
[MLPAvsLLPA4=1.00] * Time	-1.45 [-3.47, 0.56]	0.16
[MLPAvsLLPA4=3.00] * TimeSqr	-0.18 [-0.73, 0.36]	0.51
[MLPAvsLLPA4=2.00] * TimeSqr	0.15 [-0.27, 0.58]	0.47
[MLPAvsLLPA4=1.00] * TimeSqr	0.33 [-0.13, 0.79]	0.16
MLLLPAxTime_APOEStratified_Model3.txt		
Executive function		Sig
[MLPAvsLLPA4=3.00] * Time	0.28 [-4.29, 4.85]	0.91
[MLPAvsLLPA4=2.00] * Time	2.28 [-1.35, 5.90]	0.22
[MLPAvsLLPA4=1.00] * Time	1.18 [-2.86, 5.22]	0.57
[MLPAvsLLPA4=3.00] * TimeSqr	-0.27 [-1.50, 0.95]	0.66
[MLPAvsLLPA4=2.00] * TimeSqr	-0.68 [-1.64, 0.27]	0.16
[MLPAvsLLPA4=1.00] * TimeSqr	-0.25 [-1.31, 0.82]	0.65
MLLLPAxTime_APOEStratified_Model3.txt		
Global Cog		Sig
[MLPAvsLLPA4=3.00] * Time	-1.76 [-4.09, 0.56]	0.14
[MLPAvsLLPA4=2.00] * Time	-0.72 [-2.54, 1.11]	0.44
[MLPAvsLLPA4=1.00] * Time	-2.35 [-4.33, -0.37]*	0.02
[MLPAvsLLPA4=3.00] * TimeSqr	0.42 [-0.12, 0.95]	0.13
[MLPAvsLLPA4=2.00] * TimeSqr	0.20 [-0.22, 0.61]	0.35
[MLPAvsLLPA4=1.00] * TimeSqr	0.54 [0.09, 0.99]*	0.02
MLLLPAxTime_APOEStratified_Model3.txt		
Immediate memory		Sig
[MLPAvsLLPA4=3.00] * Time	-1.63 [-4.62, 1.37]	0.29
[MLPAvsLLPA4=2.00] * Time	-1.97 [-4.32, 0.39]	0.10
[MLPAvsLLPA4=1.00] * Time	-4.18 [-6.74, -1.62]**	0.00
[MLPAvsLLPA4=3.00] * TimeSqr	0.54 [-0.16, 1.23]	0.13
[MLPAvsLLPA4=2.00] * TimeSqr	0.58 [0.04, 1.12]*	0.03
[MLPAvsLLPA4=1.00] * TimeSqr	0.97 [0.38, 1.56]**	0.00
MLLLPAxTime_APOEStratified_Model3.txt		
Language		Sig
[MLPAvsLLPA4=3.00] * Time	-1.38 [-4.53, 1.76]	0.39
[MLPAvsLLPA4=2.00] * Time	-0.41 [-2.88, 2.05]	0.74
[MLPAvsLLPA4=1.00] * Time	0.17 [-2.52, 2.86]	0.90
[MLPAvsLLPA4=3.00] * TimeSqr	0.35 [-0.38, 1.08]	0.35
[MLPAvsLLPA4=2.00] * TimeSqr	0.11 [-0.45, 0.68]	0.70
[MLPAvsLLPA4=1.00] * TimeSqr	-0.04 [-0.66, 0.57]	0.89
