MLLLPAxSex_Model3Parameter	Estimate	Std. Error	df	t	Sig.	95% Confidence Interval	
MLLLPAxSex_Model3Lower Bound	Upper Bound
MLLLPAxSex_Model3Intercept	108.886418	9.595253	762.405	11.348	.000	90.050164	127.722672
MLLLPAxSex_Model3Sex	2.171822	1.450159	748.458	1.498	.135	-.675040	5.018685
MLLLPAxSex_Model3Age	-.015894	.129237	773.488	-.123	.902	-.269591	.237803
MLLLPAxSex_Model3EDUpos	5.323169	1.019819	728.094	5.220	.000	3.321032	7.325307
MLLLPAxSex_Model3Time	2.036431	.363495	1654.968	5.602	.000	1.323473	2.749390
MLLLPAxSex_Model3TimeSqr	-.208715	.082630	1602.249	-2.526	.012	-.370790	-.046640
MLLLPAxSex_Model3[MLPAvsLLPA4=1.00]	4.068025	2.083838	721.951	1.952	.051	-.023081	8.159130
MLLLPAxSex_Model3[MLPAvsLLPA4=2.00]	2.651644	1.944272	739.640	1.364	.173	-1.165305	6.468593
MLLLPAxSex_Model3[MLPAvsLLPA4=3.00]	2.340634	2.434284	723.586	.962	.337	-2.438469	7.119736
MLLLPAxSex_Model3[MLPAvsLLPA4=4.00]	0b	0	.	.	.	.	.
MLLLPAxSex_Model3BMI	-.441765	.124624	738.365	-3.545	.000	-.686424	-.197106
MLLLPAxSex_Model3Hypertension	-1.722941	1.141266	733.719	-1.510	.132	-3.963477	.517595
MLLLPAxSex_Model3Hypercholes	.881113	1.487707	734.580	.592	.554	-2.039551	3.801777
MLLLPAxSex_Model3Diabetes	-3.347537	1.982248	756.294	-1.689	.092	-7.238899	.543826
MLLLPAxSex_Model3Alcohol	.023900	.034081	736.300	.701	.483	-.043007	.090807
MLLLPAxSex_Model3SmokeDichot	1.939262	1.024701	734.006	1.893	.059	-.072431	3.950956
MLLLPAxSex_Model3[MLPAvsLLPA4=1.00] * Sex	-1.132809	2.910341	719.679	-.389	.697	-6.846581	4.580963
MLLLPAxSex_Model3[MLPAvsLLPA4=2.00] * Sex	-1.439163	2.669646	733.536	-.539	.590	-6.680220	3.801894
MLLLPAxSex_Model3[MLPAvsLLPA4=3.00] * Sex	-2.435069	3.374773	725.951	-.722	.471	-9.060548	4.190410
MLLLPAxSex_Model3[MLPAvsLLPA4=4.00] * Sex	0b	0	.	.	.	.	.
MLLLPAxSex_Model3a Dependent Variable: Attention.	
MLLLPAxSex_Model3b This parameter is set to zero because it is redundant.	

Attention
