MLLLPAxSex_Model3Parameter	Estimate	Std. Error	df	t	Sig.	95% Confidence Interval	
MLLLPAxSex_Model3Lower Bound	Upper Bound
MLLLPAxSex_Model3Intercept	109.444161	6.909551	683.342	15.840	.000	95.877661	123.010662
MLLLPAxSex_Model3Sex	4.878079	1.041596	659.460	4.683	.000	2.832835	6.923324
MLLLPAxSex_Model3Age	-.210649	.093225	698.033	-2.260	.024	-.393683	-.027614
MLLLPAxSex_Model3EDUpos	3.816933	.730020	632.606	5.229	.000	2.383377	5.250489
MLLLPAxSex_Model3Time	3.297161	.316776	1634.010	10.408	.000	2.675831	3.918491
MLLLPAxSex_Model3TimeSqr	-.525772	.072293	1559.944	-7.273	.000	-.667573	-.383970
MLLLPAxSex_Model3[MLPAvsLLPA4=1.00]	1.270495	1.490219	625.621	.853	.394	-1.655942	4.196933
MLLLPAxSex_Model3[MLPAvsLLPA4=2.00]	1.966188	1.394235	645.071	1.410	.159	-.771599	4.703976
MLLLPAxSex_Model3[MLPAvsLLPA4=3.00]	-.290893	1.741016	625.075	-.167	.867	-3.709841	3.128056
MLLLPAxSex_Model3[MLPAvsLLPA4=4.00]	0b	0	.	.	.	.	.
MLLLPAxSex_Model3BMI	-.021360	.089366	646.511	-.239	.811	-.196843	.154122
MLLLPAxSex_Model3Hypertension	-.173972	.817757	640.483	-.213	.832	-1.779781	1.431838
MLLLPAxSex_Model3Hypercholes	.271701	1.066159	641.780	.255	.799	-1.821881	2.365283
MLLLPAxSex_Model3Diabetes	.593581	1.425581	669.806	.416	.677	-2.205564	3.392726
MLLLPAxSex_Model3Alcohol	.040198	.024429	643.080	1.645	.100	-.007773	.088168
MLLLPAxSex_Model3SmokeDichot	.427853	.734233	640.074	.583	.560	-1.013943	1.869648
MLLLPAxSex_Model3[MLPAvsLLPA4=1.00] * Sex	-.451607	2.080373	621.995	-.217	.828	-4.537014	3.633799
MLLLPAxSex_Model3[MLPAvsLLPA4=2.00] * Sex	-.893580	1.912653	638.745	-.467	.641	-4.649428	2.862269
MLLLPAxSex_Model3[MLPAvsLLPA4=3.00] * Sex	-.541477	2.414685	628.492	-.224	.823	-5.283305	4.200351
MLLLPAxSex_Model3[MLPAvsLLPA4=4.00] * Sex	0b	0	.	.	.	.	.
MLLLPAxSex_Model3a Dependent Variable: Delayed memory.	
MLLLPAxSex_Model3b This parameter is set to zero because it is redundant.	

Delayed memory
