MLLLPAxSex_Model3Parameter	Estimate	Std. Error	df	t	Sig.	95% Confidence Interval	
MLLLPAxSex_Model3Lower Bound	Upper Bound
MLLLPAxSex_Model3Intercept	109.395375	7.817707	736.256	13.993	.000	94.047720	124.743029
MLLLPAxSex_Model3Sex	5.414705	1.181066	720.933	4.585	.000	3.095965	7.733444
MLLLPAxSex_Model3Age	-.120264	.105326	747.908	-1.142	.254	-.327034	.086505
MLLLPAxSex_Model3EDUpos	6.660877	.830118	699.545	8.024	.000	5.031056	8.290698
MLLLPAxSex_Model3Time	2.319295	.307279	1640.049	7.548	.000	1.716594	2.921995
MLLLPAxSex_Model3TimeSqr	-.348113	.069898	1582.978	-4.980	.000	-.485215	-.211010
MLLLPAxSex_Model3[MLPAvsLLPA4=1.00]	3.820612	1.695925	693.242	2.253	.025	.490847	7.150376
MLLLPAxSex_Model3[MLPAvsLLPA4=2.00]	2.333911	1.583105	711.312	1.474	.141	-.774207	5.442029
MLLLPAxSex_Model3[MLPAvsLLPA4=3.00]	-.117159	1.981216	694.602	-.059	.953	-4.007049	3.772730
MLLLPAxSex_Model3[MLPAvsLLPA4=4.00]	0b	0	.	.	.	.	.
MLLLPAxSex_Model3BMI	-.326382	.101471	710.375	-3.217	.001	-.525600	-.127164
MLLLPAxSex_Model3Hypertension	-.965295	.929119	705.513	-1.039	.299	-2.789465	.858875
MLLLPAxSex_Model3Hypercholes	.525053	1.211190	706.437	.434	.665	-1.852911	2.903017
MLLLPAxSex_Model3Diabetes	-2.061590	1.614758	729.171	-1.277	.202	-5.231719	1.108539
MLLLPAxSex_Model3Alcohol	.050593	.027747	708.112	1.823	.069	-.003884	.105070
MLLLPAxSex_Model3SmokeDichot	1.517800	.834227	705.711	1.819	.069	-.120065	3.155665
MLLLPAxSex_Model3[MLPAvsLLPA4=1.00] * Sex	-1.725754	2.368417	690.772	-.729	.466	-6.375913	2.924405
MLLLPAxSex_Model3[MLPAvsLLPA4=2.00] * Sex	-1.196010	2.173376	705.123	-.550	.582	-5.463074	3.071053
MLLLPAxSex_Model3[MLPAvsLLPA4=3.00] * Sex	-.785075	2.746844	697.122	-.286	.775	-6.178155	4.608004
MLLLPAxSex_Model3[MLPAvsLLPA4=4.00] * Sex	0b	0	.	.	.	.	.
MLLLPAxSex_Model3a Dependent Variable: Global Cog.	
MLLLPAxSex_Model3b This parameter is set to zero because it is redundant.	

Global Cog
