MLLLPAxSex_Model3Parameter	Estimate	Std. Error	df	t	Sig.	95% Confidence Interval	
MLLLPAxSex_Model3Lower Bound	Upper Bound
MLLLPAxSex_Model3Intercept	95.908301	7.250700	731.803	13.227	.000	81.673648	110.142954
MLLLPAxSex_Model3Sex	5.982204	1.087046	682.411	5.503	.000	3.847847	8.116562
MLLLPAxSex_Model3Age	-.007250	.098087	752.873	-.074	.941	-.199807	.185307
MLLLPAxSex_Model3EDUpos	3.588735	.757753	644.095	4.736	.000	2.100771	5.076700
MLLLPAxSex_Model3Time	.395368	.408592	1749.208	.968	.333	-.406013	1.196749
MLLLPAxSex_Model3TimeSqr	-.024685	.093754	1664.352	-.263	.792	-.208574	.159203
MLLLPAxSex_Model3[MLPAvsLLPA4=1.00]	3.550528	1.544840	636.578	2.298	.022	.516928	6.584127
MLLLPAxSex_Model3[MLPAvsLLPA4=2.00]	.525582	1.450258	655.539	.362	.717	-2.322130	3.373294
MLLLPAxSex_Model3[MLPAvsLLPA4=3.00]	-.096329	1.803806	629.793	-.053	.957	-3.638531	3.445873
MLLLPAxSex_Model3[MLPAvsLLPA4=4.00]	0b	0	.	.	.	.	.
MLLLPAxSex_Model3BMI	.002725	.093033	665.079	.029	.977	-.179949	.185399
MLLLPAxSex_Model3Hypertension	-.375943	.850271	656.402	-.442	.659	-2.045523	1.293637
MLLLPAxSex_Model3Hypercholes	.890647	1.108879	658.732	.803	.422	-1.286717	3.068011
MLLLPAxSex_Model3Diabetes	-2.494171	1.490740	696.876	-1.673	.095	-5.421052	.432710
MLLLPAxSex_Model3Alcohol	.038427	.025411	658.609	1.512	.131	-.011469	.088324
MLLLPAxSex_Model3SmokeDichot	1.617337	.763265	654.076	2.119	.034	.118591	3.116083
MLLLPAxSex_Model3[MLPAvsLLPA4=1.00] * Sex	.323564	2.154740	630.065	.150	.881	-3.907777	4.554905
MLLLPAxSex_Model3[MLPAvsLLPA4=2.00] * Sex	-.965019	1.987515	650.633	-.486	.627	-4.867738	2.937699
MLLLPAxSex_Model3[MLPAvsLLPA4=3.00] * Sex	1.028782	2.503745	635.547	.411	.681	-3.887832	5.945396
MLLLPAxSex_Model3[MLPAvsLLPA4=4.00] * Sex	0b	0	.	.	.	.	.
MLLLPAxSex_Model3a Dependent Variable: Language.	
MLLLPAxSex_Model3b This parameter is set to zero because it is redundant.	

Language
